workload,cap,window_sec,off_avg_s,on_avg_s,oneshot_avg_s,oneshot_off_s,toggle_avg_s,toggle_off_s,toggle_on_s
pr,8g,5,18.87299,45.41178,20.18425,45.022,50.36476,45.027,60.032
pr,8g,10,18.87299,45.41178,,,34.85731,50.013,80.016
pr,8g,20,18.87299,45.41178,,,33.86487,80.010,140.013
pr,16g,5,19.06677,44.05163,19.77788,35.016,42.13903,35.017,50.022
pr,16g,10,19.06677,44.05163,,,30.10791,50.009,80.012
pr,16g,20,19.06677,44.05163,,,29.17429,80.009,140.013
bc,8g,5,16.39678,52.61184,41.69187,70.027,50.62334,65.026,80.032
bc,8g,10,16.39678,52.61184,36.72230,90.013,50.74007,90.015,130.018
bc,8g,20,16.39678,52.61184,41.60252,140.009,49.08597,140.010,200.014
bc,16g,5,49.38733,19.98134,14.17649,45.020,35.36535,65.022,85.026
bc,16g,10,49.38733,19.98134,23.23782,90.012,18.59924,80.013,110.017
bc,16g,20,49.38733,19.98134,25.90131,100.006,19.65504,80.006,140.009
