mode=bw bw_kernel=read hugepage=none prefault=1 seed=1311768467463790320
arena_bytes=8589934592 window_bytes=8589934592 offset_bytes=0 move_step_bytes=4194304 move_min_offset_bytes=0 move_max_offset_bytes=0 move_policy=fixed
duration_ms=200000 sample_ms=1000 move_interval_ms=1000 csv=1 quiet=0 emit_summary=1
ops_per_pass=0 pause_ns=0 pc_pattern=random bw_stride=512 bw_block_bytes=4096 bw_shared_window=1 hotset_pages=262144 hot_prob_pct=90 hotset_read_pct=100 hotset_write_pct=0 hotset_rmw_pct=0 hotset_index_mode=xorshift hotset_prefault_node=-1
index_kernel=rmw index_distribution=uniform index_zipf_alpha=1.200 index_cluster_bytes=2097152 index_cluster_span_ops=4096 index_segments=8 index_segment_span_ops=4096
placement=window-split nodes=0,1
total_threads=8 pc_threads=0 bw_threads=8 pc_chains=1 local_node=0 remote_node=1 window_split_local_bytes=4294967296 strict=0
warmup_complete elapsed_s=20.001 measurement_s=200.000
time_ms,ops_total,ops_delta,bytes_total,bytes_delta,window_offset
0,0,0,0,0,0
1000,864026624,864026624,6912212992,6912212992,0
2000,1753219072,889192448,14025752576,7113539584,0
3000,2654994432,901775360,21239955456,7214202880,0
4000,3539992576,884998144,28319940608,7079985152,0
5000,4424990720,884998144,35399925760,7079985152,0
6000,5326766080,901775360,42614128640,7214202880,0
7000,6211764224,884998144,49694113792,7079985152,0
8001,7115636736,903872512,56925093888,7230980096,0
9000,8004829184,889192448,64038633472,7113539584,0
10000,8891924480,887095296,71135395840,7096762368,0
11000,9797894144,905969664,78383153152,7247757312,0
12000,10682892288,884998144,85463138304,7079985152,0
13000,11588861952,905969664,92710895616,7247757312,0
14000,12478054400,889192448,99824435200,7113539584,0
15000,13384024064,905969664,107072192512,7247757312,0
16001,14273216512,889192448,114185732096,7113539584,0
17000,15160311808,887095296,121282494464,7096762368,0
18000,16066281472,905969664,128530251776,7247757312,0
19000,16955473920,889192448,135643791360,7113539584,0
20000,17817403392,861929472,142539227136,6895435776,0
21000,18689818624,872415232,149518548992,6979321856,0
22000,19564331008,874512384,156514648064,6996099072,0
23000,20453523456,889192448,163628187648,7113539584,0
24001,21340618752,887095296,170724950016,7096762368,0
25000,22227714048,887095296,177821712384,7096762368,0
26000,23116906496,889192448,184935251968,7113539584,0
27000,24001904640,884998144,192015237120,7079985152,0
28000,24899485696,897581056,199195885568,7180648448,0
29000,25784483840,884998144,206275870720,7079985152,0
30000,26669481984,884998144,213355855872,7079985152,0
31000,27575451648,905969664,220603613184,7247757312,0
32001,28460449792,884998144,227683598336,7079985152,0
33000,29349642240,889192448,234797137920,7113539584,0
34000,30236737536,887095296,241893900288,7096762368,0
35000,31125929984,889192448,249007439872,7113539584,0
36000,32029802496,903872512,256238419968,7230980096,0
37000,32912703488,882900992,263301627904,7063207936,0
38000,33799798784,887095296,270398390272,7096762368,0
39000,34705768448,905969664,277646147584,7247757312,0
40001,35594960896,889192448,284759687168,7113539584,0
41000,36500930560,905969664,292007444480,7247757312,0
42000,37388025856,887095296,299104206848,7096762368,0
43000,38293995520,905969664,306351964160,7247757312,0
44000,39183187968,889192448,313465503744,7113539584,0
45000,40072380416,889192448,320579043328,7113539584,0
46000,40978350080,905969664,327826800640,7247757312,0
47000,41827696640,849346560,334621573120,6794772480,0
48001,42731569152,903872512,341852553216,7230980096,0
49000,43620761600,889192448,348966092800,7113539584,0
50000,44507856896,887095296,356062855168,7096762368,0
51000,45411729408,903872512,363293835264,7230980096,0
52000,46286241792,874512384,370289934336,6996099072,0
53000,47171239936,884998144,377369919488,7079985152,0
54000,48056238080,884998144,384449904640,7079985152,0
55000,48939139072,882900992,391513112576,7063207936,0
56001,49824137216,884998144,398593097728,7079985152,0
57000,50728009728,903872512,405824077824,7230980096,0
58000,51613007872,884998144,412904062976,7079985152,0
59000,52498006016,884998144,419984048128,7079985152,0
60000,53403975680,905969664,427231805440,7247757312,0
61000,54293168128,889192448,434345345024,7113539584,0
62000,55197040640,903872512,441576325120,7230980096,0
63000,56084135936,887095296,448673087488,7096762368,0
64000,56971231232,887095296,455769849856,7096762368,0
65000,57858326528,887095296,462866612224,7096762368,0
66000,58764296192,905969664,470114369536,7247757312,0
67000,59649294336,884998144,477194354688,7079985152,0
68000,60551069696,901775360,484408557568,7214202880,0
69000,61440262144,889192448,491522097152,7113539584,0
70000,62329454592,889192448,498635636736,7113539584,0
71000,63210258432,880803840,505682067456,7046430720,0
72000,64097353728,887095296,512778829824,7096762368,0
73000,64986546176,889192448,519892369408,7113539584,0
74000,65892515840,905969664,527140126720,7247757312,0
75000,66779611136,887095296,534236889088,7096762368,0
