event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-21T05:29:10Z,0,0,1,5.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-21T05:29:15Z,5002,1,1,5.0,80.0,20.0,1000,1000,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-21T05:29:20Z,10005,2,2,5.0,80.0,20.0,1000,1000,10.00,13144,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-21T05:29:25Z,15007,3,3,5.0,80.0,20.0,1000,1000,10.00,19663,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-21T05:29:30Z,20010,4,4,5.0,80.0,20.0,1000,1000,10.00,17226,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-21T05:29:35Z,25012,5,5,5.0,80.0,20.0,1000,1000,10.00,16649,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-21T05:29:40Z,30015,6,6,5.0,80.0,20.0,1000,1000,10.00,15509,0,15509,0,156725,1589904,1567250.00,22654.00,100.00,0.00,1.42,1,1,0,1,,on,2
sample,2026-05-21T05:29:45Z,35018,7,7,5.0,80.0,20.0,1000,1000,10.00,74535,74535,74535,0,42607,2152826,426070.00,1726756.00,100.00,100.00,80.21,2,0,0,2,,on,2
sample,2026-05-21T05:29:50Z,40020,8,8,5.0,80.0,20.0,1000,1000,10.00,42607,42607,42607,0,42971,2250483,429710.00,1820773.00,100.00,100.00,80.91,3,0,0,3,,on,2
off,2026-05-21T05:29:50Z,40020,8,8,5.0,80.0,20.0,1000,1000,10.00,42607,42607,42607,0,42971,2250483,429710.00,1820773.00,100.00,100.00,80.91,3,0,0,3,local_access,off,0
