event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T07:45:55Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:46:00Z,5001,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,28277,699526,282770.00,416756.00,0.00,0.00,59.58,0,0,0,0,,on,2
sample,2026-05-28T07:46:05Z,10003,2,2,5.0,80.0,20.0,1,1,10.00,52802,32528,52000,802,119546,2772258,1195460.00,1576798.00,98.48,61.60,56.88,1,0,0,1,,on,2
sample,2026-05-28T07:46:10Z,15011,3,3,5.0,80.0,20.0,1,1,10.00,112431,107775,112199,232,84026,3015491,840260.00,2175231.00,99.79,95.86,72.14,2,0,0,2,,on,2
sample,2026-05-28T07:46:15Z,20013,4,4,5.0,80.0,20.0,1,1,10.00,69974,68043,69552,422,23955,1685738,239550.00,1446188.00,99.40,97.24,85.79,3,0,0,3,,on,2
off,2026-05-28T07:46:15Z,20013,4,4,5.0,80.0,20.0,1,1,10.00,69974,68043,69552,422,23955,1685738,239550.00,1446188.00,99.40,97.24,85.79,3,0,0,3,local_access,off,0
sample,2026-05-28T07:46:20Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,30905,22572,30905,0,20163,20163,201630.00,0.00,100.00,73.04,0.00,1,1,0,1,,off,0
sample,2026-05-28T07:46:25Z,30015,6,6,5.0,80.0,20.0,1,1,10.00,28637,11348,28637,0,47155,47155,471550.00,0.00,100.00,39.63,0.00,2,2,0,2,,off,0
sample,2026-05-28T07:46:30Z,35018,7,7,5.0,80.0,20.0,1,1,10.00,38764,32840,38764,0,32025,32025,320250.00,0.00,100.00,84.72,0.00,3,3,0,3,,off,0
sample,2026-05-28T07:46:35Z,40020,8,8,5.0,80.0,20.0,1,1,10.00,32313,30418,32313,0,40115,40115,401150.00,0.00,100.00,94.14,0.00,4,4,0,4,,off,0
sample,2026-05-28T07:46:40Z,45022,9,9,5.0,80.0,20.0,1,1,10.00,37371,35009,37368,0,16481,16485,164810.00,0.00,99.99,93.68,0.00,5,5,0,5,,off,0
sample,2026-05-28T07:46:45Z,50024,10,10,5.0,80.0,20.0,1,1,10.00,22396,10781,21503,40,12662,12677,126620.00,0.00,96.01,48.14,0.00,6,6,0,6,,off,0
sample,2026-05-28T07:46:50Z,55025,11,11,5.0,80.0,20.0,1,1,10.00,21196,3583,20586,610,20951,20951,209510.00,0.00,97.12,16.90,0.00,7,7,0,7,,off,0
sample,2026-05-28T07:46:55Z,60027,12,12,5.0,80.0,20.0,1,1,10.00,15989,8724,15989,0,24101,24101,241010.00,0.00,100.00,54.56,0.00,8,8,0,8,,off,0
sample,2026-05-28T07:47:00Z,65036,13,13,5.0,80.0,20.0,1,1,10.00,33278,13778,33278,0,57347,57349,573470.00,0.00,100.00,41.40,0.00,9,9,0,9,,off,0
sample,2026-05-28T07:47:05Z,70037,14,14,5.0,80.0,20.0,1,1,10.00,37838,34861,37838,0,34797,34805,347970.00,0.00,100.00,92.13,0.00,10,10,0,10,,off,0
sample,2026-05-28T07:47:10Z,75038,15,15,5.0,80.0,20.0,1,1,10.00,31263,29333,31263,0,26291,26291,262910.00,0.00,100.00,93.83,0.00,11,11,0,11,,off,0
sample,2026-05-28T07:47:15Z,80040,16,16,5.0,80.0,20.0,1,1,10.00,27907,23993,27863,0,23782,23782,237820.00,0.00,99.84,85.97,0.00,12,12,0,12,,off,0
sample,2026-05-28T07:47:20Z,85042,17,17,5.0,80.0,20.0,1,1,10.00,26541,11022,26419,0,15624,15633,156240.00,0.00,99.54,41.53,0.00,13,13,0,13,,off,0
sample,2026-05-28T07:47:25Z,90045,18,18,5.0,80.0,20.0,1,1,10.00,16439,2014,16438,0,7364,7369,73640.00,0.00,99.99,12.25,0.00,14,14,0,14,,off,0
sample,2026-05-28T07:47:30Z,95047,19,19,5.0,80.0,20.0,1,1,10.00,3870,98,1093,0,1465,1514,14650.00,0.00,28.24,2.53,0.00,0,15,0,0,,off,0
sample,2026-05-28T07:47:35Z,100048,20,20,5.0,80.0,20.0,1,1,10.00,28542,10234,28542,0,59278,59384,592780.00,0.00,100.00,35.86,0.00,1,16,0,1,,off,0
sample,2026-05-28T07:47:40Z,105049,21,21,5.0,80.0,20.0,1,1,10.00,39579,34464,39579,0,38521,38521,385210.00,0.00,100.00,87.08,0.00,2,17,0,2,,off,0
sample,2026-05-28T07:47:45Z,110050,22,22,5.0,80.0,20.0,1,1,10.00,32787,30300,32787,0,39619,39619,396190.00,0.00,100.00,92.41,0.00,3,18,0,3,,off,0
sample,2026-05-28T07:47:50Z,115051,23,23,5.0,80.0,20.0,1,1,10.00,37331,33039,37331,0,13481,13487,134810.00,0.00,100.00,88.50,0.00,4,19,0,4,,off,0
sample,2026-05-28T07:47:55Z,120054,24,24,5.0,80.0,20.0,1,1,10.00,21545,9766,20921,0,25473,25475,254730.00,0.00,97.10,45.33,0.00,5,20,0,5,,off,0
sample,2026-05-28T07:48:00Z,125057,25,25,5.0,80.0,20.0,1,1,10.00,21000,12587,20997,0,9167,9170,91670.00,0.00,99.99,59.94,0.00,6,21,0,6,,off,0
sample,2026-05-28T07:48:05Z,130058,26,26,5.0,80.0,20.0,1,1,10.00,3582,1133,3582,0,319,319,3190.00,0.00,100.00,31.63,0.00,7,22,0,7,,off,0
sample,2026-05-28T07:48:10Z,135060,27,27,5.0,80.0,20.0,1,1,10.00,25820,7929,25820,0,48771,48771,487710.00,0.00,100.00,30.71,0.00,8,23,0,8,,off,0
sample,2026-05-28T07:48:15Z,140061,28,28,5.0,80.0,20.0,1,1,10.00,36348,27981,36348,0,47565,47598,475650.00,0.00,100.00,76.98,0.00,9,24,0,9,,off,0
sample,2026-05-28T07:48:20Z,145062,29,29,5.0,80.0,20.0,1,1,10.00,34934,32588,34934,0,28469,28472,284690.00,0.00,100.00,93.28,0.00,10,25,0,10,,off,0
sample,2026-05-28T07:48:25Z,150064,30,30,5.0,80.0,20.0,1,1,10.00,38938,35412,38938,0,23222,23226,232220.00,0.00,100.00,90.94,0.00,11,26,0,11,,off,0
sample,2026-05-28T07:48:30Z,155066,31,31,5.0,80.0,20.0,1,1,10.00,20148,12187,18838,0,20654,20669,206540.00,0.00,93.50,60.49,0.00,12,27,0,12,,off,0
sample,2026-05-28T07:48:35Z,160068,32,32,5.0,80.0,20.0,1,1,10.00,22265,8625,21559,0,12082,12097,120820.00,0.00,96.83,38.74,0.00,13,28,0,13,,off,0
sample,2026-05-28T07:48:40Z,165070,33,33,5.0,80.0,20.0,1,1,10.00,8978,3586,8978,0,6568,6568,65680.00,0.00,100.00,39.94,0.00,14,29,0,14,,off,0
sample,2026-05-28T07:48:45Z,170071,34,34,5.0,80.0,20.0,1,1,10.00,20246,6185,20246,0,35726,35726,357260.00,0.00,100.00,30.55,0.00,15,30,0,15,,off,0
sample,2026-05-28T07:48:50Z,175072,35,35,5.0,80.0,20.0,1,1,10.00,35595,23590,35595,0,53283,53310,532830.00,0.00,100.00,66.27,0.00,16,31,0,16,,off,0
sample,2026-05-28T07:48:55Z,180074,36,36,5.0,80.0,20.0,1,1,10.00,36321,33817,36321,0,24501,24524,245010.00,0.00,100.00,93.11,0.00,17,32,0,17,,off,0
sample,2026-05-28T07:49:00Z,185077,37,37,5.0,80.0,20.0,1,1,10.00,33868,30819,33868,0,29809,29824,298090.00,0.00,100.00,91.00,0.00,18,33,0,18,,off,0
sample,2026-05-28T07:49:05Z,190080,38,38,5.0,80.0,20.0,1,1,10.00,22821,18001,22156,0,17907,17913,179070.00,0.00,97.09,78.88,0.00,19,34,0,19,,off,0
sample,2026-05-28T07:49:10Z,195087,39,39,5.0,80.0,20.0,1,1,10.00,26209,6568,23882,0,11678,11756,116780.00,0.00,91.12,25.06,0.00,20,35,0,20,,off,0
sample,2026-05-28T07:49:15Z,200089,40,40,5.0,80.0,20.0,1,1,10.00,12371,1545,12371,0,14376,14376,143760.00,0.00,100.00,12.49,0.00,21,36,0,21,,off,0
sample,2026-05-28T07:49:20Z,205090,41,41,5.0,80.0,20.0,1,1,10.00,10740,4493,10740,0,18769,18625,187690.00,0.00,100.00,41.83,0.00,22,37,0,22,,off,0
sample,2026-05-28T07:49:25Z,210091,42,42,5.0,80.0,20.0,1,1,10.00,31443,12228,31443,0,58422,58570,584220.00,0.00,100.00,38.89,0.00,23,38,0,23,,off,0
sample,2026-05-28T07:49:30Z,215092,43,43,5.0,80.0,20.0,1,1,10.00,39240,36670,39240,0,25722,25722,257220.00,0.00,100.00,93.45,0.00,24,39,0,24,,off,0
sample,2026-05-28T07:49:35Z,220094,44,44,5.0,80.0,20.0,1,1,10.00,33804,30823,33804,0,38357,38328,383570.00,0.00,100.00,91.18,0.00,25,40,0,25,,off,0
sample,2026-05-28T07:49:40Z,225097,45,45,5.0,80.0,20.0,1,1,10.00,27395,26249,27369,0,13218,13261,132180.00,0.00,99.91,95.82,0.00,26,41,0,26,,off,0
sample,2026-05-28T07:49:45Z,230098,46,46,5.0,80.0,20.0,1,1,10.00,26429,7379,25747,0,14017,14030,140170.00,0.00,97.42,27.92,0.00,27,42,0,27,,off,0
sample,2026-05-28T07:49:50Z,235100,47,47,5.0,80.0,20.0,1,1,10.00,17182,1509,17182,0,18120,18120,181200.00,0.00,100.00,8.78,0.00,28,43,0,28,,off,0
