event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T07:56:08Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:56:13Z,5002,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,12,23,120.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:56:18Z,10004,2,2,5.0,80.0,20.0,1,1,10.00,676,12,128,548,29120,2972747,291200.00,2681547.00,18.93,1.78,90.20,0,0,0,0,,on,2
sample,2026-05-28T07:56:23Z,15005,3,3,5.0,80.0,20.0,1,1,10.00,29963,29094,29953,3,53310,3093258,533100.00,2560158.00,99.97,97.10,82.77,1,0,0,1,,on,2
sample,2026-05-28T07:56:28Z,20008,4,4,5.0,80.0,20.0,1,1,10.00,53331,52089,53331,0,43651,3064061,436510.00,2627551.00,100.00,97.67,85.75,2,0,0,2,,on,2
sample,2026-05-28T07:56:33Z,25012,5,5,5.0,80.0,20.0,1,1,10.00,45920,42387,45093,827,41607,2817121,416070.00,2401051.00,98.20,92.31,85.23,3,0,0,3,,on,2
off,2026-05-28T07:56:33Z,25012,5,5,5.0,80.0,20.0,1,1,10.00,45920,42387,45093,827,41607,2817121,416070.00,2401051.00,98.20,92.31,85.23,3,0,0,3,local_access,off,0
sample,2026-05-28T07:56:38Z,30013,6,6,5.0,80.0,20.0,1,1,10.00,56731,47711,56731,0,39830,39993,398300.00,0.00,100.00,84.10,0.00,1,1,0,1,,off,0
sample,2026-05-28T07:56:43Z,35016,7,7,5.0,80.0,20.0,1,1,10.00,25688,4178,25679,0,4872,4872,48720.00,0.00,99.96,16.26,0.00,2,2,0,2,,off,0
sample,2026-05-28T07:56:48Z,40018,8,8,5.0,80.0,20.0,1,1,10.00,1973,902,1532,0,4,4,40.00,0.00,77.65,45.72,0.00,0,3,0,0,,off,0
sample,2026-05-28T07:56:53Z,45019,9,9,5.0,80.0,20.0,1,1,10.00,9450,0,0,0,16292,16292,162920.00,0.00,0.00,0.00,0.00,0,4,0,0,,off,0
sample,2026-05-28T07:56:58Z,50021,10,10,5.0,80.0,20.0,1,1,10.00,35484,15089,35216,0,64757,64784,647570.00,0.00,99.24,42.52,0.00,1,5,0,1,,off,0
sample,2026-05-28T07:57:03Z,55024,11,11,5.0,80.0,20.0,1,1,10.00,55638,14565,55638,0,94843,94870,948430.00,0.00,100.00,26.18,0.00,2,6,0,2,,off,0
sample,2026-05-28T07:57:08Z,60032,12,12,5.0,80.0,20.0,1,1,10.00,77261,59875,77261,0,8416,8416,84160.00,0.00,100.00,77.50,0.00,3,7,0,3,,off,0
sample,2026-05-28T07:57:13Z,65034,13,13,5.0,80.0,20.0,1,1,10.00,8424,3244,8075,0,1992,1736,19920.00,0.00,95.86,38.51,0.00,4,8,0,4,,off,0
sample,2026-05-28T07:57:18Z,70036,14,14,5.0,80.0,20.0,1,1,10.00,487,0,156,0,6122,6381,61220.00,0.00,32.03,0.00,0.00,0,9,0,0,,off,0
sample,2026-05-28T07:57:23Z,75038,15,15,5.0,80.0,20.0,1,1,10.00,10896,4781,10433,0,25548,25552,255480.00,0.00,95.75,43.88,0.00,1,10,0,1,,off,0
sample,2026-05-28T07:57:28Z,80040,16,16,5.0,80.0,20.0,1,1,10.00,52749,28655,52725,0,70973,70985,709730.00,0.00,99.95,54.32,0.00,2,11,0,2,,off,0
sample,2026-05-28T07:57:33Z,85048,17,17,5.0,80.0,20.0,1,1,10.00,56090,33666,56033,0,63782,63889,637820.00,0.00,99.90,60.02,0.00,3,12,0,3,,off,0
sample,2026-05-28T07:57:38Z,90050,18,18,5.0,80.0,20.0,1,1,10.00,61026,29996,47156,0,2721,2725,27210.00,0.00,77.27,49.15,0.00,0,13,0,0,,off,0
sample,2026-05-28T07:57:43Z,95051,19,19,5.0,80.0,20.0,1,1,10.00,5421,1657,4923,0,17213,17214,172130.00,0.00,90.81,30.57,0.00,1,14,0,1,,off,0
sample,2026-05-28T07:57:48Z,100052,20,20,5.0,80.0,20.0,1,1,10.00,504,0,0,0,7319,7322,73190.00,0.00,0.00,0.00,0.00,0,15,0,0,,off,0
sample,2026-05-28T07:57:53Z,105054,21,21,5.0,80.0,20.0,1,1,10.00,11242,8470,11242,0,17599,17604,175990.00,0.00,100.00,75.34,0.00,1,16,0,1,,off,0
