event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T08:13:22Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:13:27Z,5001,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,90985,1343052,909850.00,433202.00,0.00,0.00,32.26,0,0,0,0,,on,2
sample,2026-05-28T08:13:32Z,10003,2,2,5.0,80.0,20.0,1,1,10.00,112634,103034,106139,6495,34405,760217,344050.00,416167.00,94.23,91.48,54.74,1,0,0,1,,on,2
sample,2026-05-28T08:13:37Z,15006,3,3,5.0,80.0,20.0,1,1,10.00,85390,19281,85311,79,69335,1774053,693350.00,1080703.00,99.91,22.58,60.92,2,0,0,2,,on,2
sample,2026-05-28T08:13:42Z,20016,4,4,5.0,80.0,20.0,1,1,10.00,4020,3258,3397,546,46368,3100084,463680.00,2636404.00,84.50,81.04,85.04,3,0,0,3,,on,2
off,2026-05-28T08:13:42Z,20017,4,4,5.0,80.0,20.0,1,1,10.00,4020,3258,3397,546,46368,3100084,463680.00,2636404.00,84.50,81.04,85.04,3,0,0,3,local_access,off,0
sample,2026-05-28T08:13:47Z,25019,5,5,5.0,80.0,20.0,1,1,10.00,46495,46308,46374,110,777,777,7770.00,0.00,99.74,99.60,0.00,1,1,0,1,,off,0
sample,2026-05-28T08:13:52Z,30021,6,6,5.0,80.0,20.0,1,1,10.00,1179,696,1097,0,761,761,7610.00,0.00,93.04,59.03,0.00,2,2,0,2,,off,0
sample,2026-05-28T08:13:57Z,35024,7,7,5.0,80.0,20.0,1,1,10.00,7250,316,364,0,66,66,660.00,0.00,5.02,4.36,0.00,0,3,0,0,,off,0
sample,2026-05-28T08:14:02Z,40026,8,8,5.0,80.0,20.0,1,1,10.00,95639,0,0,0,907,907,9070.00,0.00,0.00,0.00,0.00,0,4,0,0,,off,0
sample,2026-05-28T08:14:07Z,45028,9,9,5.0,80.0,20.0,1,1,10.00,34061,1078,1259,0,1788,1728,17880.00,0.00,3.70,3.16,0.00,0,5,0,0,,off,0
sample,2026-05-28T08:14:12Z,50032,10,10,5.0,80.0,20.0,1,1,10.00,1256,879,1167,0,10975,11043,109750.00,0.00,92.91,69.98,0.00,1,6,0,1,,off,0
sample,2026-05-28T08:14:17Z,55035,11,11,5.0,80.0,20.0,1,1,10.00,17801,16966,17787,1,170772,170806,1707720.00,0.00,99.92,95.31,0.00,2,7,0,2,,off,0
sample,2026-05-28T08:14:22Z,60038,12,12,5.0,80.0,20.0,1,1,10.00,30430,3289,30165,265,2577,2402,25770.00,0.00,99.13,10.81,0.00,3,8,0,3,,off,0
sample,2026-05-28T08:14:27Z,65042,13,13,5.0,80.0,20.0,1,1,10.00,1331,957,1323,0,239,421,2390.00,0.00,99.40,71.90,0.00,4,9,0,4,,off,0
sample,2026-05-28T08:14:32Z,70046,14,14,5.0,80.0,20.0,1,1,10.00,43542,56,453,0,442,442,4420.00,0.00,1.04,0.13,0.00,0,10,0,0,,off,0
sample,2026-05-28T08:14:37Z,75049,15,15,5.0,80.0,20.0,1,1,10.00,92095,217,217,0,1594,1473,15940.00,0.00,0.24,0.24,0.00,0,11,0,0,,off,0
sample,2026-05-28T08:14:42Z,80052,16,16,5.0,80.0,20.0,1,1,10.00,1625,1624,1625,0,796,858,7960.00,0.00,100.00,99.94,0.00,1,12,0,1,,off,0
sample,2026-05-28T08:14:47Z,85055,17,17,5.0,80.0,20.0,1,1,10.00,743,574,693,0,23922,23990,239220.00,0.00,93.27,77.25,0.00,2,13,0,2,,off,0
sample,2026-05-28T08:14:52Z,90058,18,18,5.0,80.0,20.0,1,1,10.00,40971,12485,40941,0,158700,158725,1587000.00,0.00,99.93,30.47,0.00,3,14,0,3,,off,0
sample,2026-05-28T08:14:57Z,95061,19,19,5.0,80.0,20.0,1,1,10.00,8205,694,8204,0,2049,2048,20490.00,0.00,99.99,8.46,0.00,4,15,0,4,,off,0
sample,2026-05-28T08:15:02Z,100065,20,20,5.0,80.0,20.0,1,1,10.00,667,322,541,0,128,133,1280.00,0.00,81.11,48.28,0.00,5,16,0,5,,off,0
sample,2026-05-28T08:15:07Z,105068,21,21,5.0,80.0,20.0,1,1,10.00,61241,16,163,0,439,439,4390.00,0.00,0.27,0.03,0.00,0,17,0,0,,off,0
sample,2026-05-28T08:15:12Z,110071,22,22,5.0,80.0,20.0,1,1,10.00,74329,452,472,0,1646,1356,16460.00,0.00,0.64,0.61,0.00,0,18,0,0,,off,0
sample,2026-05-28T08:15:17Z,115074,23,23,5.0,80.0,20.0,1,1,10.00,1578,1575,1578,0,636,926,6360.00,0.00,100.00,99.81,0.00,1,19,0,1,,off,0
sample,2026-05-28T08:15:22Z,120078,24,24,5.0,80.0,20.0,1,1,10.00,1625,394,1594,0,41342,41358,413420.00,0.00,98.09,24.25,0.00,2,20,0,2,,off,0
