event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T06:43:00Z,1,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:43:05Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:43:10Z,10006,2,2,5.0,80.0,20.0,1,1,10.00,6589,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:43:15Z,15008,3,3,5.0,80.0,20.0,1,1,10.00,26220,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:43:20Z,20011,4,4,5.0,80.0,20.0,1,1,10.00,8321,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:43:25Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,202,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:43:30Z,30016,6,6,5.0,80.0,20.0,1,1,10.00,0,0,0,0,14088,349876,140880.00,208996.00,0.00,0.00,59.73,0,0,0,0,,on,2
sample,2026-05-28T06:43:35Z,35017,7,7,5.0,80.0,20.0,1,1,10.00,5308,4897,4980,0,11951,856052,119510.00,736542.00,93.82,92.26,86.04,1,0,0,1,,on,2
sample,2026-05-28T06:43:40Z,40018,8,8,5.0,80.0,20.0,1,1,10.00,18839,8154,10111,0,28883,1666085,288830.00,1377255.00,53.67,43.28,82.66,0,0,0,0,,on,2
sample,2026-05-28T06:43:45Z,45019,9,9,5.0,80.0,20.0,1,1,10.00,60369,20476,24634,0,18013,2060963,180130.00,1880833.00,40.81,33.92,91.26,0,0,0,0,,on,2
sample,2026-05-28T06:43:50Z,50020,10,10,5.0,80.0,20.0,1,1,10.00,15463,2310,4495,0,20772,1963806,207720.00,1756086.00,29.07,14.94,89.42,0,0,0,0,,on,2
sample,2026-05-28T06:43:55Z,55021,11,11,5.0,80.0,20.0,1,1,10.00,7312,3387,3738,0,22909,2060190,229090.00,1831100.00,51.12,46.32,88.88,0,0,0,0,,on,2
sample,2026-05-28T06:44:00Z,60022,12,12,5.0,80.0,20.0,1,1,10.00,16951,14056,14362,112,37229,1331270,372290.00,958980.00,84.73,82.92,72.03,1,0,0,1,,on,2
sample,2026-05-28T06:44:05Z,65023,13,13,5.0,80.0,20.0,1,1,10.00,42030,36147,36435,5003,45036,768079,450360.00,317719.00,86.69,86.00,41.37,2,0,0,2,,on,2
sample,2026-05-28T06:44:10Z,70025,14,14,5.0,80.0,20.0,1,1,10.00,45535,41095,41289,2357,21092,1753329,210920.00,1542409.00,90.68,90.25,87.97,3,0,0,3,,on,2
off,2026-05-28T06:44:10Z,70025,14,14,5.0,80.0,20.0,1,1,10.00,45535,41095,41289,2357,21092,1753329,210920.00,1542409.00,90.68,90.25,87.97,3,0,0,3,local_access,off,0
sample,2026-05-28T06:44:15Z,75027,15,15,5.0,80.0,20.0,1,1,10.00,27019,13507,26329,178,22039,22354,220390.00,0.00,97.45,49.99,0.00,1,1,0,1,,off,0
sample,2026-05-28T06:44:20Z,80036,16,16,5.0,80.0,20.0,1,1,10.00,29679,7147,19582,171,11312,11312,113120.00,0.00,65.98,24.08,0.00,0,2,0,0,,off,0
sample,2026-05-28T06:44:25Z,85038,17,17,5.0,80.0,20.0,1,1,10.00,958,100,273,0,4009,4009,40090.00,0.00,28.50,10.44,0.00,0,3,0,0,,off,0
sample,2026-05-28T06:44:30Z,90040,18,18,5.0,80.0,20.0,1,1,10.00,1772,79,259,0,2953,2954,29530.00,0.00,14.62,4.46,0.00,0,4,0,0,,off,0
sample,2026-05-28T06:44:35Z,95042,19,19,5.0,80.0,20.0,1,1,10.00,2135,57,684,0,2950,2950,29500.00,0.00,32.04,2.67,0.00,0,5,0,0,,off,0
sample,2026-05-28T06:44:40Z,100044,20,20,5.0,80.0,20.0,1,1,10.00,3273,417,1490,0,5357,5358,53570.00,0.00,45.52,12.74,0.00,0,6,0,0,,off,0
sample,2026-05-28T06:44:45Z,105045,21,21,5.0,80.0,20.0,1,1,10.00,11570,2110,8079,0,15884,15889,158840.00,0.00,69.83,18.24,0.00,0,7,0,0,,off,0
sample,2026-05-28T06:44:50Z,110047,22,22,5.0,80.0,20.0,1,1,10.00,15847,4919,14704,0,28467,28468,284670.00,0.00,92.79,31.04,0.00,1,8,0,1,,off,0
sample,2026-05-28T06:44:55Z,115049,23,23,5.0,80.0,20.0,1,1,10.00,23900,15147,23834,0,35559,35567,355590.00,0.00,99.72,63.38,0.00,2,9,0,2,,off,0
sample,2026-05-28T06:45:00Z,120050,24,24,5.0,80.0,20.0,1,1,10.00,27472,25521,27266,0,10988,10992,109880.00,0.00,99.25,92.90,0.00,3,10,0,3,,off,0
sample,2026-05-28T06:45:05Z,125052,25,25,5.0,80.0,20.0,1,1,10.00,15722,9453,10565,0,1259,1083,12590.00,0.00,67.20,60.13,0.00,0,11,0,0,,off,0
sample,2026-05-28T06:45:10Z,130054,26,26,5.0,80.0,20.0,1,1,10.00,320,15,305,0,24139,24316,241390.00,0.00,95.31,4.69,0.00,1,12,0,1,,off,0
sample,2026-05-28T06:45:15Z,135056,27,27,5.0,80.0,20.0,1,1,10.00,26811,20513,21369,0,5137,5138,51370.00,0.00,79.70,76.51,0.00,0,13,0,0,,off,0
sample,2026-05-28T06:45:20Z,140058,28,28,5.0,80.0,20.0,1,1,10.00,13823,1636,5291,0,4565,4565,45650.00,0.00,38.28,11.84,0.00,0,14,0,0,,off,0
sample,2026-05-28T06:45:25Z,145060,29,29,5.0,80.0,20.0,1,1,10.00,1228,59,416,0,6828,6828,68280.00,0.00,33.88,4.80,0.00,0,15,0,0,,off,0
sample,2026-05-28T06:45:30Z,150061,30,30,5.0,80.0,20.0,1,1,10.00,2114,205,1218,0,4645,4645,46450.00,0.00,57.62,9.70,0.00,0,16,0,0,,off,0
sample,2026-05-28T06:45:35Z,155063,31,31,5.0,80.0,20.0,1,1,10.00,3219,689,2627,0,8782,8787,87820.00,0.00,81.61,21.40,0.00,1,17,0,1,,off,0
sample,2026-05-28T06:45:40Z,160065,32,32,5.0,80.0,20.0,1,1,10.00,7329,3875,7105,0,18171,18174,181710.00,0.00,96.94,52.87,0.00,2,18,0,2,,off,0
sample,2026-05-28T06:45:45Z,165066,33,33,5.0,80.0,20.0,1,1,10.00,16220,13510,16154,0,17080,17080,170800.00,0.00,99.59,83.29,0.00,3,19,0,3,,off,0
sample,2026-05-28T06:45:50Z,170068,34,34,5.0,80.0,20.0,1,1,10.00,15081,13523,15078,0,22765,22765,227650.00,0.00,99.98,89.67,0.00,4,20,0,4,,off,0
sample,2026-05-28T06:45:55Z,175071,35,35,5.0,80.0,20.0,1,1,10.00,25843,19298,20845,0,503,503,5030.00,0.00,80.66,74.67,0.00,5,21,0,5,,off,0
sample,2026-05-28T06:46:00Z,180074,36,36,5.0,80.0,20.0,1,1,10.00,20179,241,535,0,296,296,2960.00,0.00,2.65,1.19,0.00,0,22,0,0,,off,0
sample,2026-05-28T06:46:05Z,185076,37,37,5.0,80.0,20.0,1,1,10.00,3544,16,226,0,3624,3625,36240.00,0.00,6.38,0.45,0.00,0,23,0,0,,off,0
sample,2026-05-28T06:46:10Z,190081,38,38,5.0,80.0,20.0,1,1,10.00,11353,3927,8706,0,13337,13350,133370.00,0.00,76.68,34.59,0.00,0,24,0,0,,off,0
sample,2026-05-28T06:46:15Z,195083,39,39,5.0,80.0,20.0,1,1,10.00,29087,2404,12118,0,19304,19048,193040.00,0.00,41.66,8.26,0.00,0,25,0,0,,off,0
sample,2026-05-28T06:46:20Z,200085,40,40,5.0,80.0,20.0,1,1,10.00,820,202,485,0,18099,18358,180990.00,0.00,59.15,24.63,0.00,0,26,0,0,,off,0
sample,2026-05-28T06:46:25Z,205086,41,41,5.0,80.0,20.0,1,1,10.00,1963,633,1841,0,12086,12086,120860.00,0.00,93.79,32.25,0.00,1,27,0,1,,off,0
sample,2026-05-28T06:46:30Z,210088,42,42,5.0,80.0,20.0,1,1,10.00,2172,1628,2161,0,4586,4586,45860.00,0.00,99.49,74.95,0.00,2,28,0,2,,off,0
sample,2026-05-28T06:46:35Z,215090,43,43,5.0,80.0,20.0,1,1,10.00,3649,3508,3617,0,7041,7042,70410.00,0.00,99.12,96.14,0.00,3,29,0,3,,off,0
sample,2026-05-28T06:46:40Z,220092,44,44,5.0,80.0,20.0,1,1,10.00,12042,2376,4506,0,5868,5870,58680.00,0.00,37.42,19.73,0.00,0,30,0,0,,off,0
sample,2026-05-28T06:46:45Z,225094,45,45,5.0,80.0,20.0,1,1,10.00,15119,1174,9471,0,19601,19605,196010.00,0.00,62.64,7.77,0.00,0,31,0,0,,off,0
sample,2026-05-28T06:46:50Z,230095,46,46,5.0,80.0,20.0,1,1,10.00,23288,7265,13847,0,10914,10914,109140.00,0.00,59.46,31.20,0.00,0,32,0,0,,off,0
sample,2026-05-28T06:46:55Z,235097,47,47,5.0,80.0,20.0,1,1,10.00,21719,1472,1472,0,77,78,770.00,0.00,6.78,6.78,0.00,0,33,0,0,,off,0
