event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T08:48:58Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:03Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:08Z,10006,2,2,5.0,80.0,20.0,1,1,10.00,35128,0,0,0,0,46,0.00,46.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:13Z,15008,3,3,5.0,80.0,20.0,1,1,10.00,133164,0,0,19625,0,13,0.00,13.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:18Z,20011,4,4,5.0,80.0,20.0,1,1,10.00,23571,0,0,0,0,72,0.00,72.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:23Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,7257,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:28Z,30016,6,6,5.0,80.0,20.0,1,1,10.00,978,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:33Z,35019,7,7,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,116,0.00,116.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:38Z,40022,8,8,5.0,80.0,20.0,1,1,10.00,3447,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:43Z,45024,9,9,5.0,80.0,20.0,1,1,10.00,12094,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:48Z,50027,10,10,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:53Z,55030,11,11,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:49:58Z,60032,12,12,5.0,80.0,20.0,1,1,10.00,0,0,0,0,16,153,160.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T08:50:03Z,65035,13,13,5.0,80.0,20.0,1,1,10.00,9485,16,207,0,191,5134,1910.00,3224.00,2.18,0.17,62.80,0,0,0,0,,on,2
sample,2026-05-28T08:50:08Z,70037,14,14,5.0,80.0,20.0,1,1,10.00,13893,0,0,27,1198,30870,11980.00,18890.00,0.00,0.00,61.19,0,0,0,0,,on,2
sample,2026-05-28T08:50:13Z,75040,15,15,5.0,80.0,20.0,1,1,10.00,19,0,0,0,1234,30515,12340.00,18175.00,0.00,0.00,59.56,0,0,0,0,,on,2
sample,2026-05-28T08:50:18Z,80043,16,16,5.0,80.0,20.0,1,1,10.00,0,0,0,0,1219,30352,12190.00,18162.00,0.00,0.00,59.84,0,0,0,0,,on,2
