event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T08:42:36Z,1,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:42:41Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:42:46Z,10007,2,2,5.0,80.0,20.0,1,1,10.00,79629,0,0,21024,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:42:51Z,15009,3,3,5.0,80.0,20.0,1,1,10.00,113255,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:42:56Z,20011,4,4,5.0,80.0,20.0,1,1,10.00,11043,0,402,0,17604,298960,176040.00,122920.00,3.64,0.00,41.12,0,0,0,0,,on,2
sample,2026-05-28T08:43:01Z,25012,5,5,5.0,80.0,20.0,1,1,10.00,28552,4790,6639,0,19220,512053,192200.00,319853.00,23.25,16.78,62.46,0,0,0,0,,on,2
sample,2026-05-28T08:43:06Z,30012,6,6,5.0,80.0,20.0,1,1,10.00,14620,2944,3851,0,16856,556080,168560.00,387520.00,26.34,20.14,69.69,0,0,0,0,,on,2
sample,2026-05-28T08:43:11Z,35013,7,7,5.0,80.0,20.0,1,1,10.00,15776,1,5,0,17007,558105,170070.00,388035.00,0.03,0.01,69.53,0,0,0,0,,on,2
sample,2026-05-28T08:43:16Z,40014,8,8,5.0,80.0,20.0,1,1,10.00,10414,7,7,41,14968,580613,149680.00,430933.00,0.07,0.07,74.22,0,0,0,0,,on,2
sample,2026-05-28T08:43:21Z,45014,9,9,5.0,80.0,20.0,1,1,10.00,20774,0,0,13,15477,575006,154770.00,420236.00,0.00,0.00,73.08,0,0,0,0,,on,2
sample,2026-05-28T08:43:26Z,50015,10,10,5.0,80.0,20.0,1,1,10.00,19694,0,102,0,13800,591433,138000.00,453433.00,0.52,0.00,76.67,0,0,0,0,,on,2
sample,2026-05-28T08:43:31Z,55016,11,11,5.0,80.0,20.0,1,1,10.00,3212,0,32,0,15650,574979,156500.00,418479.00,1.00,0.00,72.78,0,0,0,0,,on,2
sample,2026-05-28T08:43:36Z,60017,12,12,5.0,80.0,20.0,1,1,10.00,2214,0,0,0,13958,590698,139580.00,451118.00,0.00,0.00,76.37,0,0,0,0,,on,2
sample,2026-05-28T08:43:41Z,65017,13,13,5.0,80.0,20.0,1,1,10.00,3643,0,6,0,14497,585594,144970.00,440624.00,0.16,0.00,75.24,0,0,0,0,,on,2
sample,2026-05-28T08:43:46Z,70018,14,14,5.0,80.0,20.0,1,1,10.00,3989,1,1,0,14877,581814,148770.00,433044.00,0.03,0.03,74.43,0,0,0,0,,on,2
sample,2026-05-28T08:43:51Z,75020,15,15,5.0,80.0,20.0,1,1,10.00,5298,0,0,24,15726,463953,157260.00,306693.00,0.00,0.00,66.10,0,0,0,0,,on,2
sample,2026-05-28T08:43:56Z,80021,16,16,5.0,80.0,20.0,1,1,10.00,5486,0,5486,0,132075,4563276,1320750.00,3242526.00,100.00,0.00,71.06,1,0,0,1,,on,2
sample,2026-05-28T08:44:01Z,85022,17,17,5.0,80.0,20.0,1,1,10.00,50600,17137,35423,0,4707,4708,47070.00,0.00,70.01,33.87,0.00,0,1,0,0,,on,2
sample,2026-05-28T08:44:06Z,90027,18,18,5.0,80.0,20.0,1,1,10.00,47735,2878,16491,0,15517,125582,155170.00,0.00,34.55,6.03,0.00,0,2,0,0,,on,2
sample,2026-05-28T08:44:11Z,95029,19,19,5.0,80.0,20.0,1,1,10.00,4211,3744,3786,0,14273,316948,142730.00,174218.00,89.91,88.91,54.97,1,0,0,1,,on,2
sample,2026-05-28T08:44:16Z,100030,20,20,5.0,80.0,20.0,1,1,10.00,4219,3948,4027,0,21192,486897,211920.00,274977.00,95.45,93.58,56.48,2,0,0,2,,on,2
sample,2026-05-28T08:44:21Z,105032,21,21,5.0,80.0,20.0,1,1,10.00,5012,3754,3771,0,21319,633896,213190.00,420706.00,75.24,74.90,66.37,0,0,0,0,,on,2
sample,2026-05-28T08:44:26Z,110034,22,22,5.0,80.0,20.0,1,1,10.00,7098,3662,3662,10,3410,486148,34100.00,452048.00,51.59,51.59,92.99,0,0,0,0,,on,2
sample,2026-05-28T08:44:31Z,115036,23,23,5.0,80.0,20.0,1,1,10.00,5548,2135,2135,0,0,0,0.00,0.00,38.48,38.48,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:44:36Z,120039,24,24,5.0,80.0,20.0,1,1,10.00,4099,0,0,3023,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:44:41Z,125042,25,25,5.0,80.0,20.0,1,1,10.00,8620,0,0,8584,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:44:46Z,130045,26,26,5.0,80.0,20.0,1,1,10.00,409,0,0,407,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:44:51Z,135047,27,27,5.0,80.0,20.0,1,1,10.00,437,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:44:56Z,140050,28,28,5.0,80.0,20.0,1,1,10.00,39600,0,0,25828,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:45:01Z,145053,29,29,5.0,80.0,20.0,1,1,10.00,60733,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:45:06Z,150055,30,30,5.0,80.0,20.0,1,1,10.00,1422,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:45:11Z,155057,31,31,5.0,80.0,20.0,1,1,10.00,1088,0,0,15,36462,671880,364620.00,307260.00,0.00,0.00,45.73,0,0,0,0,,on,2
sample,2026-05-28T08:45:16Z,160058,32,32,5.0,80.0,20.0,1,1,10.00,35702,35517,35534,74,76297,1493264,762970.00,730294.00,99.53,99.48,48.91,1,0,0,1,,on,2
sample,2026-05-28T08:45:21Z,165059,33,33,5.0,80.0,20.0,1,1,10.00,78818,76155,76283,2505,75778,1565114,757780.00,807334.00,96.78,96.62,51.58,2,0,0,2,,on,2
sample,2026-05-28T08:45:26Z,170060,34,34,5.0,80.0,20.0,1,1,10.00,79242,75643,75727,3491,70076,1643487,700760.00,942727.00,95.56,95.46,57.36,3,0,0,3,,on,2
off,2026-05-28T08:45:26Z,170060,34,34,5.0,80.0,20.0,1,1,10.00,79242,75643,75727,3491,70076,1643487,700760.00,942727.00,95.56,95.46,57.36,3,0,0,3,local_access,off,0
sample,2026-05-28T08:45:31Z,175061,35,35,5.0,80.0,20.0,1,1,10.00,70351,70062,70127,95,4135,4254,41350.00,0.00,99.68,99.59,0.00,1,1,0,1,,off,0
sample,2026-05-28T08:45:36Z,180062,36,36,5.0,80.0,20.0,1,1,10.00,4212,3936,4022,0,4089,4090,40890.00,0.00,95.49,93.45,0.00,2,2,0,2,,off,0
sample,2026-05-28T08:45:41Z,185063,37,37,5.0,80.0,20.0,1,1,10.00,4462,4082,4162,0,4209,4204,42090.00,0.00,93.28,91.48,0.00,3,3,0,3,,off,0
sample,2026-05-28T08:45:46Z,190064,38,38,5.0,80.0,20.0,1,1,10.00,4552,4112,4215,0,4193,4199,41930.00,0.00,92.60,90.33,0.00,4,4,0,4,,off,0
sample,2026-05-28T08:45:51Z,195064,39,39,5.0,80.0,20.0,1,1,10.00,4469,4034,4124,0,9379,9380,93790.00,0.00,92.28,90.27,0.00,5,5,0,5,,off,0
sample,2026-05-28T08:45:56Z,200065,40,40,5.0,80.0,20.0,1,1,10.00,9330,9215,9245,0,2526,2530,25260.00,0.00,99.09,98.77,0.00,6,6,0,6,,off,0
sample,2026-05-28T08:46:01Z,205067,41,41,5.0,80.0,20.0,1,1,10.00,3997,3661,3773,3,28906,28911,289060.00,0.00,94.40,91.59,0.00,7,7,0,7,,off,0
sample,2026-05-28T08:46:06Z,210067,42,42,5.0,80.0,20.0,1,1,10.00,32794,29562,30601,79,39421,39424,394210.00,0.00,93.31,90.14,0.00,8,8,0,8,,off,0
sample,2026-05-28T08:46:11Z,215068,43,43,5.0,80.0,20.0,1,1,10.00,43457,37802,39178,0,48174,48180,481740.00,0.00,90.15,86.99,0.00,9,9,0,9,,off,0
sample,2026-05-28T08:46:16Z,220070,44,44,5.0,80.0,20.0,1,1,10.00,56976,48123,49824,0,27997,28009,279970.00,0.00,87.45,84.46,0.00,10,10,0,10,,off,0
sample,2026-05-28T08:46:21Z,225070,45,45,5.0,80.0,20.0,1,1,10.00,26810,22353,23278,0,4875,4876,48750.00,0.00,86.83,83.38,0.00,11,11,0,11,,off,0
sample,2026-05-28T08:46:26Z,230071,46,46,5.0,80.0,20.0,1,1,10.00,4127,3702,3837,0,4645,4646,46450.00,0.00,92.97,89.70,0.00,12,12,0,12,,off,0
sample,2026-05-28T08:46:31Z,235073,47,47,5.0,80.0,20.0,1,1,10.00,4297,3909,4037,0,4452,4452,44520.00,0.00,93.95,90.97,0.00,13,13,0,13,,off,0
sample,2026-05-28T08:46:36Z,240074,48,48,5.0,80.0,20.0,1,1,10.00,4167,3844,3951,0,2985,2986,29850.00,0.00,94.82,92.25,0.00,14,14,0,14,,off,0
sample,2026-05-28T08:46:41Z,245075,49,49,5.0,80.0,20.0,1,1,10.00,2524,2341,2401,0,8584,8584,85840.00,0.00,95.13,92.75,0.00,15,15,0,15,,off,0
sample,2026-05-28T08:46:46Z,250076,50,50,5.0,80.0,20.0,1,1,10.00,8305,8305,8305,0,340,340,3400.00,0.00,100.00,100.00,0.00,16,16,0,16,,off,0
sample,2026-05-28T08:46:51Z,255077,51,51,5.0,80.0,20.0,1,1,10.00,0,0,0,0,25579,25580,255790.00,0.00,0.00,0.00,0.00,0,17,0,0,,off,0
sample,2026-05-28T08:46:56Z,260079,52,52,5.0,80.0,20.0,1,1,10.00,27126,26369,26919,0,38984,38988,389840.00,0.00,99.24,97.21,0.00,1,18,0,1,,off,0
sample,2026-05-28T08:47:01Z,265080,53,53,5.0,80.0,20.0,1,1,10.00,41148,38485,39222,0,10313,10319,103130.00,0.00,95.32,93.53,0.00,2,19,0,2,,off,0
sample,2026-05-28T08:47:06Z,270081,54,54,5.0,80.0,20.0,1,1,10.00,30439,6494,13325,0,21120,21123,211200.00,0.00,43.78,21.33,0.00,0,20,0,0,,off,0
sample,2026-05-28T08:47:11Z,275082,55,55,5.0,80.0,20.0,1,1,10.00,50775,5137,24019,0,26886,26888,268860.00,0.00,47.30,10.12,0.00,0,21,0,0,,off,0
sample,2026-05-28T08:47:16Z,280083,56,56,5.0,80.0,20.0,1,1,10.00,4004,571,1810,0,26829,26832,268290.00,0.00,45.20,14.26,0.00,0,22,0,0,,off,0
sample,2026-05-28T08:47:21Z,285085,57,57,5.0,80.0,20.0,1,1,10.00,4283,468,708,0,5614,5619,56140.00,0.00,16.53,10.93,0.00,0,23,0,0,,off,0
sample,2026-05-28T08:47:26Z,290086,58,58,5.0,80.0,20.0,1,1,10.00,6136,78,78,0,11,11,110.00,0.00,1.27,1.27,0.00,0,24,0,0,,off,0
sample,2026-05-28T08:47:31Z,295088,59,59,5.0,80.0,20.0,1,1,10.00,3380,1,1,0,0,0,0.00,0.00,0.03,0.03,0.00,0,0,1,0,,off,0
sample,2026-05-28T08:47:36Z,300090,60,60,5.0,80.0,20.0,1,1,10.00,2845,0,0,0,1,1,10.00,0.00,0.00,0.00,0.00,0,1,0,0,,off,0
sample,2026-05-28T08:47:41Z,305091,61,61,5.0,80.0,20.0,1,1,10.00,5470,1,1,0,0,0,0.00,0.00,0.02,0.02,0.00,0,0,1,0,,off,0
sample,2026-05-28T08:47:46Z,310093,62,62,5.0,80.0,20.0,1,1,10.00,17648,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-28T08:47:46Z,310093,62,62,5.0,80.0,20.0,1,1,10.00,17648,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-28T08:47:51Z,315094,63,63,5.0,80.0,20.0,1,1,10.00,56230,16148,53095,0,163572,986723,1635720.00,0.00,94.42,28.72,0.00,1,1,0,1,,on,2
sample,2026-05-28T08:47:56Z,320097,64,64,5.0,80.0,20.0,1,1,10.00,68402,61778,62527,72,3871,33253,38710.00,0.00,91.41,90.32,0.00,2,2,0,2,,on,2
sample,2026-05-28T08:48:01Z,325099,65,65,5.0,80.0,20.0,1,1,10.00,20259,2248,2248,2,7,7,70.00,0.00,11.10,11.10,0.00,0,3,0,0,,on,2
off,2026-05-28T08:48:01Z,325100,65,65,5.0,80.0,20.0,1,1,10.00,20259,2248,2248,2,7,7,70.00,0.00,11.10,11.10,0.00,0,3,0,0,remote_ratio,off,0
sample,2026-05-28T08:48:06Z,330102,66,66,5.0,80.0,20.0,1,1,10.00,5872,0,0,0,3,3,30.00,0.00,0.00,0.00,0.00,0,1,0,0,,off,0
sample,2026-05-28T08:48:11Z,335105,67,67,5.0,80.0,20.0,1,1,10.00,5167,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,,off,0
sample,2026-05-28T08:48:16Z,340108,68,68,5.0,80.0,20.0,1,1,10.00,7255,0,0,0,1,1,10.00,0.00,0.00,0.00,0.00,0,1,0,0,,off,0
sample,2026-05-28T08:48:21Z,345110,69,69,5.0,80.0,20.0,1,1,10.00,4091,1,1,0,0,0,0.00,0.00,0.02,0.02,0.00,0,0,1,0,,off,0
sample,2026-05-28T08:48:26Z,350113,70,70,5.0,80.0,20.0,1,1,10.00,9,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-28T08:48:26Z,350114,70,70,5.0,80.0,20.0,1,1,10.00,9,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-28T08:48:31Z,355116,71,71,5.0,80.0,20.0,1,1,10.00,39334,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:48:36Z,360119,72,72,5.0,80.0,20.0,1,1,10.00,70335,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:48:41Z,365121,73,73,5.0,80.0,20.0,1,1,10.00,27691,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:48:46Z,370124,74,74,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:48:51Z,375126,75,75,5.0,80.0,20.0,1,1,10.00,36,0,0,0,606,6796,6060.00,736.00,0.00,0.00,10.83,0,1,0,0,,on,2
sample,2026-05-28T08:48:56Z,380128,76,76,5.0,80.0,20.0,1,1,10.00,611,607,607,0,274,3472,2740.00,732.00,99.35,99.35,21.08,1,0,0,1,,on,2
exit,2026-05-28T08:48:57Z,381731,77,0,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0,1,,on,2
