event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T08:32:06Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:32:11Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:32:16Z,10006,2,2,5.0,80.0,20.0,1,1,10.00,90842,0,0,30762,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:32:21Z,15009,3,3,5.0,80.0,20.0,1,1,10.00,105413,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:32:26Z,20011,4,4,5.0,80.0,20.0,1,1,10.00,21038,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:32:31Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,21244,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T08:32:36Z,30015,6,6,5.0,80.0,20.0,1,1,10.00,20974,0,18299,0,157345,10056327,1573450.00,8482877.00,87.25,0.00,84.35,1,0,0,1,,on,2
sample,2026-05-28T08:32:41Z,35017,7,7,5.0,80.0,20.0,1,1,10.00,43072,32579,43070,2,43868,4246632,438680.00,3807952.00,100.00,75.64,89.67,2,0,0,2,,on,2
sample,2026-05-28T08:32:46Z,40019,8,8,5.0,80.0,20.0,1,1,10.00,30175,30024,30024,151,63348,1122764,633480.00,489284.00,99.50,99.50,43.58,3,0,0,3,,on,2
off,2026-05-28T08:32:46Z,40019,8,8,5.0,80.0,20.0,1,1,10.00,30175,30024,30024,151,63348,1122764,633480.00,489284.00,99.50,99.50,43.58,3,0,0,3,local_access,off,0
sample,2026-05-28T08:32:51Z,45021,9,9,5.0,80.0,20.0,1,1,10.00,66133,65952,65952,181,13830,13760,138300.00,0.00,99.73,99.73,0.00,1,1,0,1,,off,0
sample,2026-05-28T08:32:56Z,50023,10,10,5.0,80.0,20.0,1,1,10.00,11409,11409,11409,0,9910,9980,99100.00,0.00,100.00,100.00,0.00,2,2,0,2,,off,0
sample,2026-05-28T08:33:01Z,55025,11,11,5.0,80.0,20.0,1,1,10.00,10101,10101,10101,0,10030,10032,100300.00,0.00,100.00,100.00,0.00,3,3,0,3,,off,0
sample,2026-05-28T08:33:06Z,60027,12,12,5.0,80.0,20.0,1,1,10.00,9873,9873,9873,0,9972,9973,99720.00,0.00,100.00,100.00,0.00,4,4,0,4,,off,0
sample,2026-05-28T08:33:11Z,65029,13,13,5.0,80.0,20.0,1,1,10.00,10121,10121,10121,0,10481,10485,104810.00,0.00,100.00,100.00,0.00,5,5,0,5,,off,0
sample,2026-05-28T08:33:16Z,70031,14,14,5.0,80.0,20.0,1,1,10.00,10189,10189,10189,0,10613,10614,106130.00,0.00,100.00,100.00,0.00,6,6,0,6,,off,0
sample,2026-05-28T08:33:21Z,75033,15,15,5.0,80.0,20.0,1,1,10.00,10880,10880,10880,0,19307,19309,193070.00,0.00,100.00,100.00,0.00,7,7,0,7,,off,0
sample,2026-05-28T08:33:26Z,80035,16,16,5.0,80.0,20.0,1,1,10.00,20022,20022,20022,0,24975,24977,249750.00,0.00,100.00,100.00,0.00,8,8,0,8,,off,0
sample,2026-05-28T08:33:31Z,85042,17,17,5.0,80.0,20.0,1,1,10.00,24519,24519,24519,0,16643,16656,166430.00,0.00,100.00,100.00,0.00,9,9,0,9,,off,0
sample,2026-05-28T08:33:36Z,90044,18,18,5.0,80.0,20.0,1,1,10.00,16756,16756,16756,0,43214,43229,432140.00,0.00,100.00,100.00,0.00,10,10,0,10,,off,0
sample,2026-05-28T08:33:41Z,95046,19,19,5.0,80.0,20.0,1,1,10.00,46631,46631,46631,0,34778,34803,347780.00,0.00,100.00,100.00,0.00,11,11,0,11,,off,0
sample,2026-05-28T08:33:46Z,100048,20,20,5.0,80.0,20.0,1,1,10.00,31158,31158,31158,0,9806,9807,98060.00,0.00,100.00,100.00,0.00,12,12,0,12,,off,0
sample,2026-05-28T08:33:51Z,105050,21,21,5.0,80.0,20.0,1,1,10.00,9672,9672,9672,0,10406,10407,104060.00,0.00,100.00,100.00,0.00,13,13,0,13,,off,0
sample,2026-05-28T08:33:56Z,110052,22,22,5.0,80.0,20.0,1,1,10.00,10323,10323,10323,0,9961,9962,99610.00,0.00,100.00,100.00,0.00,14,14,0,14,,off,0
sample,2026-05-28T08:34:01Z,115054,23,23,5.0,80.0,20.0,1,1,10.00,10018,10018,10018,0,10423,10425,104230.00,0.00,100.00,100.00,0.00,15,15,0,15,,off,0
sample,2026-05-28T08:34:06Z,120057,24,24,5.0,80.0,20.0,1,1,10.00,10651,10651,10651,0,10202,10209,102020.00,0.00,100.00,100.00,0.00,16,16,0,16,,off,0
sample,2026-05-28T08:34:11Z,125059,25,25,5.0,80.0,20.0,1,1,10.00,10045,10045,10045,0,13658,13664,136580.00,0.00,100.00,100.00,0.00,17,17,0,17,,off,0
sample,2026-05-28T08:34:16Z,130061,26,26,5.0,80.0,20.0,1,1,10.00,15459,15459,15459,0,30029,29166,300290.00,0.00,100.00,100.00,0.00,18,18,0,18,,off,0
sample,2026-05-28T08:34:21Z,135064,27,27,5.0,80.0,20.0,1,1,10.00,28127,28127,28127,0,16681,17567,166810.00,0.00,100.00,100.00,0.00,19,19,0,19,,off,0
sample,2026-05-28T08:34:26Z,140065,28,28,5.0,80.0,20.0,1,1,10.00,17079,17079,17079,0,20418,20423,204180.00,0.00,100.00,100.00,0.00,20,20,0,20,,off,0
sample,2026-05-28T08:34:31Z,145067,29,29,5.0,80.0,20.0,1,1,10.00,21658,21658,21658,0,58316,58325,583160.00,0.00,100.00,100.00,0.00,21,21,0,21,,off,0
sample,2026-05-28T08:34:36Z,150069,30,30,5.0,80.0,20.0,1,1,10.00,56870,56870,56870,0,9300,8689,93000.00,0.00,100.00,100.00,0.00,22,22,0,22,,off,0
sample,2026-05-28T08:34:41Z,155072,31,31,5.0,80.0,20.0,1,1,10.00,9152,9152,9152,0,10453,11069,104530.00,0.00,100.00,100.00,0.00,23,23,0,23,,off,0
sample,2026-05-28T08:34:46Z,160074,32,32,5.0,80.0,20.0,1,1,10.00,10661,10661,10661,0,9823,9472,98230.00,0.00,100.00,100.00,0.00,24,24,0,24,,off,0
sample,2026-05-28T08:34:51Z,165076,33,33,5.0,80.0,20.0,1,1,10.00,9570,9570,9570,0,10401,10755,104010.00,0.00,100.00,100.00,0.00,25,25,0,25,,off,0
sample,2026-05-28T08:34:56Z,170083,34,34,5.0,80.0,20.0,1,1,10.00,10654,10654,10654,0,10197,9911,101970.00,0.00,100.00,100.00,0.00,26,26,0,26,,off,0
sample,2026-05-28T08:35:01Z,175085,35,35,5.0,80.0,20.0,1,1,10.00,10019,10019,10019,0,10869,11173,108690.00,0.00,100.00,100.00,0.00,27,27,0,27,,off,0
sample,2026-05-28T08:35:06Z,180088,36,36,5.0,80.0,20.0,1,1,10.00,11027,11027,11027,0,32327,32205,323270.00,0.00,100.00,100.00,0.00,28,28,0,28,,off,0
sample,2026-05-28T08:35:11Z,185090,37,37,5.0,80.0,20.0,1,1,10.00,32314,32314,32314,0,16256,16381,162560.00,0.00,100.00,100.00,0.00,29,29,0,29,,off,0
