event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T06:39:05Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:39:10Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:39:15Z,10006,2,2,5.0,80.0,20.0,1,1,10.00,6588,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:39:20Z,15009,3,3,5.0,80.0,20.0,1,1,10.00,13105,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:39:25Z,20012,4,4,5.0,80.0,20.0,1,1,10.00,19658,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:39:31Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,6122,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:39:36Z,30016,6,6,5.0,80.0,20.0,1,1,10.00,3163,0,3163,0,50467,547671,504670.00,43001.00,100.00,0.00,7.85,1,1,0,1,,on,2
sample,2026-05-28T06:39:41Z,35017,7,7,5.0,80.0,20.0,1,1,10.00,9491,7866,9491,0,30683,1006144,306830.00,699314.00,100.00,82.88,69.50,2,0,0,2,,on,2
sample,2026-05-28T06:39:46Z,40018,8,8,5.0,80.0,20.0,1,1,10.00,46368,23026,46368,0,48032,4541331,480320.00,4061011.00,100.00,49.66,89.42,3,0,0,3,,on,2
off,2026-05-28T06:39:46Z,40019,8,8,5.0,80.0,20.0,1,1,10.00,46368,23026,46368,0,48032,4541331,480320.00,4061011.00,100.00,49.66,89.42,3,0,0,3,local_access,off,0
sample,2026-05-28T06:39:51Z,45025,9,9,5.0,80.0,20.0,1,1,10.00,33268,23972,33268,0,106936,106936,1069360.00,0.00,100.00,72.06,0.00,1,1,0,1,,off,0
sample,2026-05-28T06:39:56Z,50026,10,10,5.0,80.0,20.0,1,1,10.00,105785,82271,105784,0,18581,18588,185810.00,0.00,100.00,77.77,0.00,2,2,0,2,,off,0
sample,2026-05-28T06:40:01Z,55027,11,11,5.0,80.0,20.0,1,1,10.00,26768,8003,26768,0,27097,27116,270970.00,0.00,100.00,29.90,0.00,3,3,0,3,,off,0
sample,2026-05-28T06:40:06Z,60028,12,12,5.0,80.0,20.0,1,1,10.00,30848,13076,30848,0,65013,65013,650130.00,0.00,100.00,42.39,0.00,4,4,0,4,,off,0
sample,2026-05-28T06:40:11Z,65029,13,13,5.0,80.0,20.0,1,1,10.00,83404,45920,83404,0,51155,51155,511550.00,0.00,100.00,55.06,0.00,5,5,0,5,,off,0
sample,2026-05-28T06:40:16Z,70030,14,14,5.0,80.0,20.0,1,1,10.00,25314,13425,25314,0,45009,45010,450090.00,0.00,100.00,53.03,0.00,6,6,0,6,,off,0
sample,2026-05-28T06:40:21Z,75031,15,15,5.0,80.0,20.0,1,1,10.00,52334,33258,49695,2639,84332,84335,843320.00,0.00,94.96,63.55,0.00,7,7,0,7,,off,0
sample,2026-05-28T06:40:26Z,80032,16,16,5.0,80.0,20.0,1,1,10.00,101294,67761,101294,0,35471,35471,354710.00,0.00,100.00,66.90,0.00,8,8,0,8,,off,0
sample,2026-05-28T06:40:31Z,85033,17,17,5.0,80.0,20.0,1,1,10.00,26051,0,26051,0,54023,54023,540230.00,0.00,100.00,0.00,0.00,9,9,0,9,,off,0
sample,2026-05-28T06:40:36Z,90034,18,18,5.0,80.0,20.0,1,1,10.00,31246,27543,29910,0,1423,1423,14230.00,0.00,95.72,88.15,0.00,10,10,0,10,,off,0
sample,2026-05-28T06:40:41Z,95036,19,19,5.0,80.0,20.0,1,1,10.00,75936,813,75935,0,96070,96070,960700.00,0.00,100.00,1.07,0.00,11,11,0,11,,off,0
sample,2026-05-28T06:40:46Z,100037,20,20,5.0,80.0,20.0,1,1,10.00,26800,20222,22075,0,1853,1853,18530.00,0.00,82.37,75.46,0.00,12,12,0,12,,off,0
sample,2026-05-28T06:40:51Z,105040,21,21,5.0,80.0,20.0,1,1,10.00,39016,0,32453,6563,77552,77552,775520.00,0.00,83.18,0.00,0.00,13,13,0,13,,off,0
sample,2026-05-28T06:40:56Z,110040,22,22,5.0,80.0,20.0,1,1,10.00,92962,38378,84229,8733,48262,48263,482620.00,0.00,90.61,41.28,0.00,14,14,0,14,,off,0
sample,2026-05-28T06:41:01Z,115041,23,23,5.0,80.0,20.0,1,1,10.00,43736,0,43736,0,68161,68166,681610.00,0.00,100.00,0.00,0.00,15,15,0,15,,off,0
sample,2026-05-28T06:41:06Z,120043,24,24,5.0,80.0,20.0,1,1,10.00,33068,26641,28837,0,827,827,8270.00,0.00,87.21,80.56,0.00,16,16,0,16,,off,0
sample,2026-05-28T06:41:11Z,125044,25,25,5.0,80.0,20.0,1,1,10.00,55435,4446,55434,0,96784,96784,967840.00,0.00,100.00,8.02,0.00,17,17,0,17,,off,0
sample,2026-05-28T06:41:16Z,130045,26,26,5.0,80.0,20.0,1,1,10.00,46328,37946,44097,0,6151,6151,61510.00,0.00,95.18,81.91,0.00,18,18,0,18,,off,0
sample,2026-05-28T06:41:21Z,135046,27,27,5.0,80.0,20.0,1,1,10.00,32556,0,32556,0,54221,54221,542210.00,0.00,100.00,0.00,0.00,19,19,0,19,,off,0
sample,2026-05-28T06:41:26Z,140047,28,28,5.0,80.0,20.0,1,1,10.00,80666,14525,61465,19201,45440,45440,454400.00,0.00,76.20,18.01,0.00,0,20,0,0,,off,0
sample,2026-05-28T06:41:31Z,145048,29,29,5.0,80.0,20.0,1,1,10.00,48834,0,48834,0,68930,68930,689300.00,0.00,100.00,0.00,0.00,1,21,0,1,,off,0
sample,2026-05-28T06:41:36Z,150049,30,30,5.0,80.0,20.0,1,1,10.00,33288,22786,23864,0,21257,21257,212570.00,0.00,71.69,68.45,0.00,0,22,0,0,,off,0
sample,2026-05-28T06:41:41Z,155050,31,31,5.0,80.0,20.0,1,1,10.00,70589,54578,70517,0,99928,99928,999280.00,0.00,99.90,77.32,0.00,1,23,0,1,,off,0
sample,2026-05-28T06:41:46Z,160051,32,32,5.0,80.0,20.0,1,1,10.00,50058,40884,49587,0,8770,8667,87700.00,0.00,99.06,81.67,0.00,2,24,0,2,,off,0
sample,2026-05-28T06:41:51Z,165052,33,33,5.0,80.0,20.0,1,1,10.00,31355,0,31355,0,49548,49658,495480.00,0.00,100.00,0.00,0.00,3,25,0,3,,off,0
sample,2026-05-28T06:41:56Z,170053,34,34,5.0,80.0,20.0,1,1,10.00,42737,12403,19754,22830,3143,3165,31430.00,0.00,46.22,29.02,0.00,0,26,0,0,,off,0
sample,2026-05-28T06:42:01Z,175055,35,35,5.0,80.0,20.0,1,1,10.00,84705,0,84390,315,103848,104077,1038480.00,0.00,99.63,0.00,0.00,1,27,0,1,,off,0
sample,2026-05-28T06:42:06Z,180056,36,36,5.0,80.0,20.0,1,1,10.00,28337,18559,20669,0,20488,20488,204880.00,0.00,72.94,65.49,0.00,0,28,0,0,,off,0
sample,2026-05-28T06:42:11Z,185057,37,37,5.0,80.0,20.0,1,1,10.00,53331,20488,52033,0,70324,70324,703240.00,0.00,97.57,38.42,0.00,1,29,0,1,,off,0
sample,2026-05-28T06:42:16Z,190058,38,38,5.0,80.0,20.0,1,1,10.00,90750,30111,90750,0,81443,81446,814430.00,0.00,100.00,33.18,0.00,2,30,0,2,,off,0
sample,2026-05-28T06:42:21Z,195059,39,39,5.0,80.0,20.0,1,1,10.00,40782,1076,40782,0,47542,47548,475420.00,0.00,100.00,2.64,0.00,3,31,0,3,,off,0
sample,2026-05-28T06:42:26Z,200061,40,40,5.0,80.0,20.0,1,1,10.00,33277,27275,33277,0,23508,23508,235080.00,0.00,100.00,81.96,0.00,4,32,0,4,,off,0
sample,2026-05-28T06:42:31Z,205062,41,41,5.0,80.0,20.0,1,1,10.00,51166,13600,51165,0,76062,76062,760620.00,0.00,100.00,26.58,0.00,5,33,0,5,,off,0
sample,2026-05-28T06:42:36Z,210064,42,42,5.0,80.0,20.0,1,1,10.00,48886,23718,48886,0,35238,35238,352380.00,0.00,100.00,48.52,0.00,6,34,0,6,,off,0
sample,2026-05-28T06:42:41Z,215066,43,43,5.0,80.0,20.0,1,1,10.00,33426,22571,33426,0,53465,53465,534650.00,0.00,100.00,67.53,0.00,7,35,0,7,,off,0
sample,2026-05-28T06:42:46Z,220067,44,44,5.0,80.0,20.0,1,1,10.00,101503,43109,91056,10447,82813,82813,828130.00,0.00,89.71,42.47,0.00,8,36,0,8,,off,0
sample,2026-05-28T06:42:51Z,225069,45,45,5.0,80.0,20.0,1,1,10.00,47760,36630,47760,0,30803,30803,308030.00,0.00,100.00,76.70,0.00,9,37,0,9,,off,0
