event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T06:58:13Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:58:18Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,11,11,110.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T06:58:23Z,10006,2,2,5.0,80.0,20.0,1,1,10.00,34346,11,13,0,11,11,110.00,0.00,0.04,0.03,0.00,0,2,0,0,,on,2
sample,2026-05-28T06:58:28Z,15009,3,3,5.0,80.0,20.0,1,1,10.00,32711,9,9,1,2,2,20.00,0.00,0.03,0.03,0.00,0,3,0,0,,on,2
off,2026-05-28T06:58:28Z,15009,3,3,5.0,80.0,20.0,1,1,10.00,32711,9,9,1,2,2,20.00,0.00,0.03,0.03,0.00,0,3,0,0,remote_ratio,off,0
sample,2026-05-28T06:58:33Z,20012,4,4,5.0,80.0,20.0,1,1,10.00,20248,2,2,5,1,1,10.00,0.00,0.01,0.01,0.00,0,1,0,0,,off,0
sample,2026-05-28T06:58:38Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,1,1,1,0,2,2,20.00,0.00,100.00,100.00,0.00,1,2,0,1,,off,0
sample,2026-05-28T06:58:43Z,30017,6,6,5.0,80.0,20.0,1,1,10.00,12447,2,2,0,0,0,0.00,0.00,0.02,0.02,0.00,0,0,1,0,,off,0
sample,2026-05-28T06:58:48Z,35020,7,7,5.0,80.0,20.0,1,1,10.00,14107,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-28T06:58:48Z,35020,7,7,5.0,80.0,20.0,1,1,10.00,14107,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-28T06:58:53Z,40023,8,8,5.0,80.0,20.0,1,1,10.00,34461,0,0,0,6,7,60.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T06:58:58Z,45026,9,9,5.0,80.0,20.0,1,1,10.00,78531,6,6,33619,0,13,0.00,13.00,0.01,0.01,100.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:03Z,50028,10,10,5.0,80.0,20.0,1,1,10.00,4467,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:08Z,55031,11,11,5.0,80.0,20.0,1,1,10.00,13033,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:13Z,60034,12,12,5.0,80.0,20.0,1,1,10.00,13924,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:18Z,65036,13,13,5.0,80.0,20.0,1,1,10.00,14233,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:23Z,70039,14,14,5.0,80.0,20.0,1,1,10.00,14402,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:28Z,75042,15,15,5.0,80.0,20.0,1,1,10.00,14995,0,0,3517,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:33Z,80044,16,16,5.0,80.0,20.0,1,1,10.00,9205,0,0,1073,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:38Z,85047,17,17,5.0,80.0,20.0,1,1,10.00,7225,0,0,20,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:43Z,90050,18,18,5.0,80.0,20.0,1,1,10.00,812,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:48Z,95053,19,19,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:53Z,100055,20,20,5.0,80.0,20.0,1,1,10.00,15,0,0,15,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:59:58Z,105058,21,21,5.0,80.0,20.0,1,1,10.00,0,0,0,0,6,12,60.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:00:03Z,110061,22,22,5.0,80.0,20.0,1,1,10.00,6,6,6,0,7,17,70.00,0.00,100.00,100.00,0.00,1,2,0,1,,on,2
sample,2026-05-28T07:00:08Z,115063,23,23,5.0,80.0,20.0,1,1,10.00,2953,7,7,0,0,7,0.00,7.00,0.24,0.24,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:13Z,120066,24,24,5.0,80.0,20.0,1,1,10.00,23013,0,0,0,0,1,0.00,1.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:18Z,125068,25,25,5.0,80.0,20.0,1,1,10.00,22256,0,0,0,0,440676,0.00,440676.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:23Z,130071,26,26,5.0,80.0,20.0,1,1,10.00,25445,0,3594,2,15615,1190145,156150.00,1033995.00,14.12,0.00,86.88,0,0,0,0,,on,2
sample,2026-05-28T07:00:28Z,135073,27,27,5.0,80.0,20.0,1,1,10.00,33834,4350,4779,1325,0,0,0.00,0.00,14.12,12.86,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:33Z,140076,28,28,5.0,80.0,20.0,1,1,10.00,23045,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:38Z,145078,29,29,5.0,80.0,20.0,1,1,10.00,13310,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:43Z,150081,30,30,5.0,80.0,20.0,1,1,10.00,13231,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:48Z,155083,31,31,5.0,80.0,20.0,1,1,10.00,9684,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:53Z,160086,32,32,5.0,80.0,20.0,1,1,10.00,6180,0,0,0,0,1,0.00,1.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:00:58Z,165088,33,33,5.0,80.0,20.0,1,1,10.00,21,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:03Z,170090,34,34,5.0,80.0,20.0,1,1,10.00,0,0,0,0,1,3,10.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:01:08Z,175093,35,35,5.0,80.0,20.0,1,1,10.00,45,1,1,0,1,1,10.00,0.00,2.22,2.22,0.00,0,2,0,0,,on,2
sample,2026-05-28T07:01:13Z,180095,36,36,5.0,80.0,20.0,1,1,10.00,21870,1,1,0,0,26,0.00,26.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:18Z,185098,37,37,5.0,80.0,20.0,1,1,10.00,5867,0,0,0,0,4,0.00,4.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:23Z,190100,38,38,5.0,80.0,20.0,1,1,10.00,4104,0,0,0,0,1,0.00,1.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:28Z,195103,39,39,5.0,80.0,20.0,1,1,10.00,5000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:33Z,200105,40,40,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:38Z,205107,41,41,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,1,0.00,1.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:43Z,210110,42,42,5.0,80.0,20.0,1,1,10.00,0,0,0,0,2,0,20.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:48Z,215112,43,43,5.0,80.0,20.0,1,1,10.00,71,2,2,0,0,22,0.00,22.00,2.82,2.82,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:53Z,220114,44,44,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:01:58Z,225117,45,45,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:03Z,230119,46,46,5.0,80.0,20.0,1,1,10.00,4,0,0,0,0,8,0.00,8.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:08Z,235122,47,47,5.0,80.0,20.0,1,1,10.00,0,0,0,0,2,0,20.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:13Z,240124,48,48,5.0,80.0,20.0,1,1,10.00,55,2,2,0,0,0,0.00,0.00,3.64,3.64,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:18Z,245127,49,49,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,26,0.00,26.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:23Z,250129,50,50,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:28Z,255131,51,51,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:33Z,260134,52,52,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:38Z,265136,53,53,5.0,80.0,20.0,1,1,10.00,0,0,0,0,5,0,50.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:43Z,270139,54,54,5.0,80.0,20.0,1,1,10.00,5,5,5,0,1,0,10.00,0.00,100.00,100.00,0.00,1,0,0,1,,on,2
sample,2026-05-28T07:02:48Z,275141,55,55,5.0,80.0,20.0,1,1,10.00,50,1,1,0,0,0,0.00,0.00,2.00,2.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:53Z,280143,56,56,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,31,0.00,31.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:02:58Z,285146,57,57,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:03:03Z,290148,58,58,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:03:08Z,295151,59,59,5.0,80.0,20.0,1,1,10.00,0,0,0,0,4,3,40.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
