workload,returncode,elapsed_s,read_s,avg_trial_s,took_s,trial_count,migration_off_ms,migration_on_ms,stop_reason,final_controller_state,numa_hint_faults,pgpromote_success,pgdemote_kswapd,pgdemote_direct,pgmigrate_success,trial1_s,trial2_s,trial3_s,trial4_s,trial5_s,trial6_s,trial7_s,trial8_s,trial9_s,trial10_s,trial11_s,trial12_s,trial13_s,trial14_s,trial15_s,trial16_s,trial17_s,trial18_s,trial19_s,trial20_s
FT,0,612,,599.42,,0,20013,,local_access,off,11239629,1426069,1478119,0,3160768,,,,,,,,,,,,,,,,,,,,
LU,0,1033,,941.86,,0,25012,,local_access,off,18334384,1360320,1477761,0,2860364,,,,,,,,,,,,,,,,,,,,
SP,0,1125,,1047.21,,0,20017,,local_access,off,12813269,959772,1095932,0,2200802,,,,,,,,,,,,,,,,,,,,
bc,0,428,25.58096,50.06641,,8,70025,,local_access,off,13651318,1287263,2150203,0,3523924,54.28303,51.62719,43.26644,51.90187,50.45344,51.24709,43.63103,54.12121,,,,,,,,,,,,
btree,0,786,,,781.18446744073709551292,0,150080,,local_access,off,16750468,2017374,6640865,0,8686556,,,,,,,,,,,,,,,,,,,,
graph500,0,382,,,,0,170060;325100,310093;350114,remote_ratio,on,19845169,3035071,4778779,0,7996294,,,,,,,,,,,,,,,,,,,,
gups,0,629,,,626.18446744073709551234,0,40019,,local_access,off,17590954,520534,1601736,0,2153034,,,,,,,,,,,,,,,,,,,,
liblinear,0,1832,,,,0,15009;240120,50027;250125,remote_ratio,on,269057482,0,0,0,8352,,,,,,,,,,,,,,,,,,,,
pr,0,234,29.92487,25.32617,,8,40019,,local_access,off,7980616,245557,1587843,0,1840488,23.35172,19.35976,30.69842,30.30358,30.44137,31.03562,18.69349,18.72542,,,,,,,,,,,,
silo,0,1029,,,,0,15009;330163,35020,local_access,off,33667736,2502786,6805925,0,9384354,,,,,,,,,,,,,,,,,,,,
xsbench,0,782,,,,0,15008;80044,45025,local_access,off,12165458,808953,2021574,0,2950522,,,,,,,,,,,,,,,,,,,,
