event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T09:02:05Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T09:02:10Z,5002,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,22412,21796,224120.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T09:02:15Z,10005,2,2,5.0,80.0,20.0,1,1,10.00,54072,24183,54071,0,61602,62233,616020.00,0.00,100.00,44.72,0.00,1,2,0,1,,on,2
sample,2026-05-28T09:02:20Z,15008,3,3,5.0,80.0,20.0,1,1,10.00,32540,29189,32540,0,14444,14451,144440.00,0.00,100.00,89.70,0.00,2,3,0,2,,on,2
off,2026-05-28T09:02:20Z,15008,3,3,5.0,80.0,20.0,1,1,10.00,32540,29189,32540,0,14444,14451,144440.00,0.00,100.00,89.70,0.00,2,3,0,2,remote_ratio,off,0
sample,2026-05-28T09:02:25Z,20011,4,4,5.0,80.0,20.0,1,1,10.00,54030,11471,12790,5108,920,920,9200.00,0.00,23.67,21.23,0.00,0,1,0,0,,off,0
sample,2026-05-28T09:02:30Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,91062,0,0,0,7,7,70.00,0.00,0.00,0.00,0.00,0,2,0,0,,off,0
sample,2026-05-28T09:02:35Z,30016,6,6,5.0,80.0,20.0,1,1,10.00,23262,0,0,32,10,10,100.00,0.00,0.00,0.00,0.00,0,3,0,0,,off,0
sample,2026-05-28T09:02:40Z,35019,7,7,5.0,80.0,20.0,1,1,10.00,20374,81,81,2110,71,71,710.00,0.00,0.40,0.40,0.00,0,4,0,0,,off,0
sample,2026-05-28T09:02:45Z,40022,8,8,5.0,80.0,20.0,1,1,10.00,16782,0,0,7770,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,,off,0
sample,2026-05-28T09:02:50Z,45024,9,9,5.0,80.0,20.0,1,1,10.00,28,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-28T09:02:50Z,45025,9,9,5.0,80.0,20.0,1,1,10.00,28,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-28T09:02:55Z,50029,10,10,5.0,80.0,20.0,1,1,10.00,18702,0,2952,0,40386,389806,403860.00,0.00,15.78,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T09:03:00Z,55031,11,11,5.0,80.0,20.0,1,1,10.00,35990,9293,18347,0,58350,1362755,583500.00,779255.00,50.98,25.82,57.18,0,0,0,0,,on,2
sample,2026-05-28T09:03:05Z,60034,12,12,5.0,80.0,20.0,1,1,10.00,47621,22588,31246,0,52149,2078547,521490.00,1557057.00,65.61,47.43,74.91,0,0,0,0,,on,2
sample,2026-05-28T09:03:10Z,65036,13,13,5.0,80.0,20.0,1,1,10.00,41768,28016,32292,6,32624,1437264,326240.00,1111024.00,77.31,67.08,77.30,0,0,0,0,,on,2
sample,2026-05-28T09:03:15Z,70038,14,14,5.0,80.0,20.0,1,1,10.00,16481,10782,13799,10,24815,1458999,248150.00,1210849.00,83.73,65.42,82.99,1,0,0,1,,on,2
sample,2026-05-28T09:03:20Z,75041,15,15,5.0,80.0,20.0,1,1,10.00,14061,11026,12106,5,21487,1462900,214870.00,1248030.00,86.10,78.42,85.31,2,0,0,2,,on,2
sample,2026-05-28T09:03:25Z,80044,16,16,5.0,80.0,20.0,1,1,10.00,17071,11951,13954,0,20704,1474786,207040.00,1267746.00,81.74,70.01,85.96,3,0,0,3,,on,2
off,2026-05-28T09:03:25Z,80044,16,16,5.0,80.0,20.0,1,1,10.00,17071,11951,13954,0,20704,1474786,207040.00,1267746.00,81.74,70.01,85.96,3,0,0,3,local_access,off,0
sample,2026-05-28T09:03:30Z,85047,17,17,5.0,80.0,20.0,1,1,10.00,18639,12852,15100,0,8291,8544,82910.00,0.00,81.01,68.95,0.00,1,1,0,1,,off,0
sample,2026-05-28T09:03:35Z,90049,18,18,5.0,80.0,20.0,1,1,10.00,6349,1106,3114,0,7893,7894,78930.00,0.00,49.05,17.42,0.00,0,2,0,0,,off,0
sample,2026-05-28T09:03:40Z,95052,19,19,5.0,80.0,20.0,1,1,10.00,7478,1303,3644,0,9508,9512,95080.00,0.00,48.73,17.42,0.00,0,3,0,0,,off,0
sample,2026-05-28T09:03:45Z,100054,20,20,5.0,80.0,20.0,1,1,10.00,13646,2638,7194,0,12682,12684,126820.00,0.00,52.72,19.33,0.00,0,4,0,0,,off,0
sample,2026-05-28T09:03:50Z,105057,21,21,5.0,80.0,20.0,1,1,10.00,22536,4302,11355,0,16411,16418,164110.00,0.00,50.39,19.09,0.00,0,5,0,0,,off,0
sample,2026-05-28T09:03:55Z,110061,22,22,5.0,80.0,20.0,1,1,10.00,21709,3991,11083,0,32308,32315,323080.00,0.00,51.05,18.38,0.00,0,6,0,0,,off,0
sample,2026-05-28T09:04:00Z,115069,23,23,5.0,80.0,20.0,1,1,10.00,25930,18789,21809,0,20545,20571,205450.00,0.00,84.11,72.46,0.00,1,7,0,1,,off,0
sample,2026-05-28T09:04:05Z,120072,24,24,5.0,80.0,20.0,1,1,10.00,31173,6352,18140,0,18524,18528,185240.00,0.00,58.19,20.38,0.00,0,8,0,0,,off,0
sample,2026-05-28T09:04:10Z,125075,25,25,5.0,80.0,20.0,1,1,10.00,14284,2825,7520,0,17652,17659,176520.00,0.00,52.65,19.78,0.00,0,9,0,0,,off,0
sample,2026-05-28T09:04:15Z,130077,26,26,5.0,80.0,20.0,1,1,10.00,18027,3595,9489,2,17955,17956,179550.00,0.00,52.64,19.94,0.00,0,10,0,0,,off,0
sample,2026-05-28T09:04:20Z,135080,27,27,5.0,80.0,20.0,1,1,10.00,17906,3526,9254,2,16467,16473,164670.00,0.00,51.68,19.69,0.00,0,11,0,0,,off,0
sample,2026-05-28T09:04:25Z,140082,28,28,5.0,80.0,20.0,1,1,10.00,11296,2112,6068,0,12839,12842,128390.00,0.00,53.72,18.70,0.00,0,12,0,0,,off,0
sample,2026-05-28T09:04:30Z,145085,29,29,5.0,80.0,20.0,1,1,10.00,7258,1254,3538,0,11237,11239,112370.00,0.00,48.75,17.28,0.00,0,13,0,0,,off,0
sample,2026-05-28T09:04:35Z,150088,30,30,5.0,80.0,20.0,1,1,10.00,12010,2235,5875,0,13042,13044,130420.00,0.00,48.92,18.61,0.00,0,14,0,0,,off,0
sample,2026-05-28T09:04:40Z,155091,31,31,5.0,80.0,20.0,1,1,10.00,17321,3279,8657,0,16629,16632,166290.00,0.00,49.98,18.93,0.00,0,15,0,0,,off,0
sample,2026-05-28T09:04:45Z,160094,32,32,5.0,80.0,20.0,1,1,10.00,23478,4506,12163,0,34638,34642,346380.00,0.00,51.81,19.19,0.00,0,16,0,0,,off,0
sample,2026-05-28T09:04:50Z,165101,33,33,5.0,80.0,20.0,1,1,10.00,28988,19238,23637,0,14295,14307,142950.00,0.00,81.54,66.37,0.00,1,17,0,1,,off,0
sample,2026-05-28T09:04:55Z,170104,34,34,5.0,80.0,20.0,1,1,10.00,23724,4993,11615,0,20792,20798,207920.00,0.00,48.96,21.05,0.00,0,18,0,0,,off,0
sample,2026-05-28T09:05:00Z,175106,35,35,5.0,80.0,20.0,1,1,10.00,16242,3439,9583,0,17562,17119,175620.00,0.00,59.00,21.17,0.00,0,19,0,0,,off,0
sample,2026-05-28T09:05:05Z,180110,36,36,5.0,80.0,20.0,1,1,10.00,16045,3259,8490,0,17438,17904,174380.00,0.00,52.91,20.31,0.00,0,20,0,0,,off,0
sample,2026-05-28T09:05:10Z,185113,37,37,5.0,80.0,20.0,1,1,10.00,17528,3440,9319,0,17451,17272,174510.00,0.00,53.17,19.63,0.00,0,21,0,0,,off,0
sample,2026-05-28T09:05:15Z,190115,38,38,5.0,80.0,20.0,1,1,10.00,18549,3652,9827,0,14992,15180,149920.00,0.00,52.98,19.69,0.00,0,22,0,0,,off,0
sample,2026-05-28T09:05:20Z,195118,39,39,5.0,80.0,20.0,1,1,10.00,7075,1221,3395,3,11795,11799,117950.00,0.00,47.99,17.26,0.00,0,23,0,0,,off,0
sample,2026-05-28T09:05:25Z,200121,40,40,5.0,80.0,20.0,1,1,10.00,7808,1349,3694,10,11587,11598,115870.00,0.00,47.31,17.28,0.00,0,24,0,0,,off,0
sample,2026-05-28T09:05:30Z,205124,41,41,5.0,80.0,20.0,1,1,10.00,13543,2557,7105,0,14119,14124,141190.00,0.00,52.46,18.88,0.00,0,25,0,0,,off,0
sample,2026-05-28T09:05:35Z,210133,42,42,5.0,80.0,20.0,1,1,10.00,22144,4206,11254,0,17796,17816,177960.00,0.00,50.82,18.99,0.00,0,26,0,0,,off,0
sample,2026-05-28T09:05:40Z,215136,43,43,5.0,80.0,20.0,1,1,10.00,21792,4188,11263,0,32735,32739,327350.00,0.00,51.68,19.22,0.00,0,27,0,0,,off,0
sample,2026-05-28T09:05:45Z,220140,44,44,5.0,80.0,20.0,1,1,10.00,22644,18108,20171,0,17471,17476,174710.00,0.00,89.08,79.97,0.00,1,28,0,1,,off,0
sample,2026-05-28T09:05:50Z,225143,45,45,5.0,80.0,20.0,1,1,10.00,31794,6548,17232,0,19183,19187,191830.00,0.00,54.20,20.60,0.00,0,29,0,0,,off,0
sample,2026-05-28T09:05:55Z,230146,46,46,5.0,80.0,20.0,1,1,10.00,11485,2461,6379,2,17433,17438,174330.00,0.00,55.54,21.43,0.00,0,30,0,0,,off,0
sample,2026-05-28T09:06:00Z,235149,47,47,5.0,80.0,20.0,1,1,10.00,17325,3457,9086,119,17398,17403,173980.00,0.00,52.44,19.95,0.00,0,31,0,0,,off,0
sample,2026-05-28T09:06:05Z,240151,48,48,5.0,80.0,20.0,1,1,10.00,18289,3680,9752,61,17178,17179,171780.00,0.00,53.32,20.12,0.00,0,32,0,0,,off,0
sample,2026-05-28T09:06:10Z,245154,49,49,5.0,80.0,20.0,1,1,10.00,14586,2824,7855,0,13506,13509,135060.00,0.00,53.85,19.36,0.00,0,33,0,0,,off,0
sample,2026-05-28T09:06:15Z,250157,50,50,5.0,80.0,20.0,1,1,10.00,7372,1352,3570,0,11001,11009,110010.00,0.00,48.43,18.34,0.00,0,34,0,0,,off,0
sample,2026-05-28T09:06:20Z,255160,51,51,5.0,80.0,20.0,1,1,10.00,9153,1588,4313,0,12277,12278,122770.00,0.00,47.12,17.35,0.00,0,35,0,0,,off,0
sample,2026-05-28T09:06:25Z,260163,52,52,5.0,80.0,20.0,1,1,10.00,14094,2800,7491,0,14793,14796,147930.00,0.00,53.15,19.87,0.00,0,36,0,0,,off,0
sample,2026-05-28T09:06:30Z,265165,53,53,5.0,80.0,20.0,1,1,10.00,22765,4320,11602,0,20796,20801,207960.00,0.00,50.96,18.98,0.00,0,37,0,0,,off,0
sample,2026-05-28T09:06:35Z,270168,54,54,5.0,80.0,20.0,1,1,10.00,22632,6892,13408,0,27485,27490,274850.00,0.00,59.24,30.45,0.00,0,38,0,0,,off,0
sample,2026-05-28T09:06:40Z,275170,55,55,5.0,80.0,20.0,1,1,10.00,18752,14814,16256,0,19598,19601,195980.00,0.00,86.69,79.00,0.00,1,39,0,1,,off,0
sample,2026-05-28T09:06:45Z,280173,56,56,5.0,80.0,20.0,1,1,10.00,31344,6441,18097,0,17859,17865,178590.00,0.00,57.74,20.55,0.00,0,40,0,0,,off,0
sample,2026-05-28T09:06:50Z,285176,57,57,5.0,80.0,20.0,1,1,10.00,13720,2843,7304,0,17250,17255,172500.00,0.00,53.24,20.72,0.00,0,41,0,0,,off,0
sample,2026-05-28T09:06:55Z,290179,58,58,5.0,80.0,20.0,1,1,10.00,18144,3642,9607,0,17645,17651,176450.00,0.00,52.95,20.07,0.00,0,42,0,0,,off,0
sample,2026-05-28T09:07:00Z,295182,59,59,5.0,80.0,20.0,1,1,10.00,18345,3560,9695,0,16508,16517,165080.00,0.00,52.85,19.41,0.00,0,43,0,0,,off,0
sample,2026-05-28T09:07:05Z,300185,60,60,5.0,80.0,20.0,1,1,10.00,10178,1980,5396,0,12540,12041,125400.00,0.00,53.02,19.45,0.00,0,44,0,0,,off,0
sample,2026-05-28T09:07:10Z,305188,61,61,5.0,80.0,20.0,1,1,10.00,7625,1319,3643,7,11221,11729,112210.00,0.00,47.78,17.30,0.00,0,45,0,0,,off,0
sample,2026-05-28T09:07:15Z,310191,62,62,5.0,80.0,20.0,1,1,10.00,11922,2247,5816,0,12697,12288,126970.00,0.00,48.78,18.85,0.00,0,46,0,0,,off,0
sample,2026-05-28T09:07:20Z,315194,63,63,5.0,80.0,20.0,1,1,10.00,15733,3104,8085,0,16198,16615,161980.00,0.00,51.39,19.73,0.00,0,47,0,0,,off,0
sample,2026-05-28T09:07:25Z,320201,64,64,5.0,80.0,20.0,1,1,10.00,23006,4438,12054,0,34103,33914,341030.00,0.00,52.40,19.29,0.00,0,48,0,0,,off,0
sample,2026-05-28T09:07:30Z,325204,65,65,5.0,80.0,20.0,1,1,10.00,28886,19263,23689,0,13935,14149,139350.00,0.00,82.01,66.69,0.00,1,49,0,1,,off,0
sample,2026-05-28T09:07:35Z,330206,66,66,5.0,80.0,20.0,1,1,10.00,23649,4936,11614,0,20542,20549,205420.00,0.00,49.11,20.87,0.00,0,50,0,0,,off,0
sample,2026-05-28T09:07:40Z,335209,67,67,5.0,80.0,20.0,1,1,10.00,16350,3410,9473,4,17204,17209,172040.00,0.00,57.94,20.86,0.00,0,51,0,0,,off,0
sample,2026-05-28T09:07:45Z,340213,68,68,5.0,80.0,20.0,1,1,10.00,15952,3217,8447,6,17448,17454,174480.00,0.00,52.95,20.17,0.00,0,52,0,0,,off,0
sample,2026-05-28T09:07:50Z,345216,69,69,5.0,80.0,20.0,1,1,10.00,17533,3445,9483,0,17688,17693,176880.00,0.00,54.09,19.65,0.00,0,53,0,0,,off,0
sample,2026-05-28T09:07:55Z,350219,70,70,5.0,80.0,20.0,1,1,10.00,18561,3674,9963,0,14960,14967,149600.00,0.00,53.68,19.79,0.00,0,54,0,0,,off,0
sample,2026-05-28T09:08:00Z,355222,71,71,5.0,80.0,20.0,1,1,10.00,7060,1245,3424,0,11791,11794,117910.00,0.00,48.50,17.63,0.00,0,55,0,0,,off,0
sample,2026-05-28T09:08:05Z,360229,72,72,5.0,80.0,20.0,1,1,10.00,7814,1368,3729,0,12681,12693,126810.00,0.00,47.72,17.51,0.00,0,56,0,0,,off,0
sample,2026-05-28T09:08:10Z,365232,73,73,5.0,80.0,20.0,1,1,10.00,13551,3589,7571,0,13237,13240,132370.00,0.00,55.87,26.49,0.00,0,57,0,0,,off,0
sample,2026-05-28T09:08:15Z,370234,74,74,5.0,80.0,20.0,1,1,10.00,19372,3617,9742,0,16726,16729,167260.00,0.00,50.29,18.67,0.00,0,58,0,0,,off,0
sample,2026-05-28T09:08:20Z,375241,75,75,5.0,80.0,20.0,1,1,10.00,22699,4263,11668,0,32496,32516,324960.00,0.00,51.40,18.78,0.00,0,59,0,0,,off,0
sample,2026-05-28T09:08:25Z,380244,76,76,5.0,80.0,20.0,1,1,10.00,22665,18057,20128,0,17040,17048,170400.00,0.00,88.81,79.67,0.00,1,60,0,1,,off,0
sample,2026-05-28T09:08:30Z,385247,77,77,5.0,80.0,20.0,1,1,10.00,32049,6487,17196,0,18899,18905,188990.00,0.00,53.66,20.24,0.00,0,61,0,0,,off,0
sample,2026-05-28T09:08:35Z,390250,78,78,5.0,80.0,20.0,1,1,10.00,11568,2419,6397,0,17411,17419,174110.00,0.00,55.30,20.91,0.00,0,62,0,0,,off,0
sample,2026-05-28T09:08:40Z,395253,79,79,5.0,80.0,20.0,1,1,10.00,17374,3368,9214,0,17448,17455,174480.00,0.00,53.03,19.39,0.00,0,63,0,0,,off,0
sample,2026-05-28T09:08:45Z,400256,80,80,5.0,80.0,20.0,1,1,10.00,18380,3608,9812,3,17441,17451,174410.00,0.00,53.38,19.63,0.00,0,64,0,0,,off,0
sample,2026-05-28T09:08:50Z,405260,81,81,5.0,80.0,20.0,1,1,10.00,14618,2862,7930,0,13865,13872,138650.00,0.00,54.25,19.58,0.00,0,65,0,0,,off,0
sample,2026-05-28T09:08:55Z,410262,82,82,5.0,80.0,20.0,1,1,10.00,7357,1311,3562,0,11044,11047,110440.00,0.00,48.42,17.82,0.00,0,66,0,0,,off,0
sample,2026-05-28T09:09:00Z,415264,83,83,5.0,80.0,20.0,1,1,10.00,9103,1670,4322,0,12007,12008,120070.00,0.00,47.48,18.35,0.00,0,67,0,0,,off,0
