workload,off_s,on_s,ours_toggle_w5_s,on_over_off,ours_over_off,ours_off_ms,ours_on_ms,ours_final_state,off_hint_faults,on_hint_faults,ours_hint_faults,off_promoted,on_promoted,ours_promoted,off_demoted,on_demoted,ours_demoted
pr,30.6869,69.3824,25.3262,2.2610,0.8253,40019,,off,0,54999093,7980616,0,1449288,245557,0,2380442,1587843
bc,46.8769,53.1167,50.0664,1.1331,1.0680,70025,,off,0,17809397,13651318,0,2152065,1287263,0,3486655,2150203
silo,1101.69,766.55,1029,0.6958,0.9340,15009;330163,35020,off,0,32715052,33667736,0,4556235,2502786,0,8822063,6805925
liblinear,1546.5,1762.31,1832,1.1395,1.1846,15009;240120,50027;250125,on,0,245695788,269057482,0,0,0,0,0,0
FT,636.36,554.68,599.42,0.8716,0.9420,20013,,off,0,27228995,11239629,9,5179025,1426069,0,5147403,1478119
LU,950.49,986.61,941.86,1.0380,0.9909,25012,,off,0,121709305,18334384,0,13200750,1360320,0,13305984,1477761
SP,1064.11,999.34,1047.21,0.9391,0.9841,20017,,off,0,9852701,12813269,0,1457841,959772,0,1512215,1095932
gups,656.2,1223.32,626.184,1.8642,0.9543,40019,,off,0,25304579,17590954,0,1827555,520534,0,2877089,1601736
graph500,386.63,408.08,382,1.0555,0.9880,170060;325100,310093;350114,on,0,53163427,19845169,0,4840341,3035071,0,6409169,4778779
btree,928.66,901.16,781.184,0.9704,0.8412,150080,,off,0,23212058,16750468,0,4567817,2017374,0,9493998,6640865
xsbench,906.35,738.3,782,0.8146,0.8628,15008;80044,45025,off,0,30887616,12165458,0,1813135,808953,0,3227367,2021574
