event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,vmstat_numa_hint_faults_delta,vmstat_numa_hint_faults_local_delta,vmstat_numa_pages_migrated_delta,vmstat_pgmigrate_success_delta,vmstat_pgpromote_candidate_delta,vmstat_pgpromote_success_delta,vmstat_pgdemote_kswapd_delta,vmstat_pgdemote_direct_delta,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T09:47:55Z,2,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,on,2
sample,2026-05-28T09:48:00Z,5005,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,13,13,130.00,0.00,0.00,0.00,0.00,13,13,0,0,0,0,0,0,0,1,0,0,,on,2
sample,2026-05-28T09:48:05Z,10008,2,2,5.0,80.0,20.0,1,1,10.00,34326,13,16,0,12,12,120.00,0.00,0.05,0.04,0.00,12,12,0,0,0,0,0,0,0,2,0,0,,on,2
sample,2026-05-28T09:48:10Z,15012,3,3,5.0,80.0,20.0,1,1,10.00,30819,9,10,0,12,12,120.00,0.00,0.03,0.03,0.00,12,12,0,49630,0,0,49630,0,0,3,0,0,,on,2
off,2026-05-28T09:48:10Z,15013,3,3,5.0,80.0,20.0,1,1,10.00,30819,9,10,0,12,12,120.00,0.00,0.03,0.03,0.00,12,12,0,49630,0,0,49630,0,0,3,0,0,remote_ratio,off,0
sample,2026-05-28T09:48:15Z,20016,4,4,5.0,80.0,20.0,1,1,10.00,26839,11,11,2,0,0,0.00,0.00,0.04,0.04,0.00,0,0,0,195963,0,0,195963,0,0,0,1,0,,off,0
sample,2026-05-28T09:48:20Z,25019,5,5,5.0,80.0,20.0,1,1,10.00,32983,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,196100,0,0,196100,0,0,0,2,0,,off,0
on,2026-05-28T09:48:20Z,25020,5,5,5.0,80.0,20.0,1,1,10.00,32983,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,196100,0,0,196100,0,0,0,2,0,reenable,on,2
sample,2026-05-28T09:48:25Z,30024,6,6,5.0,80.0,20.0,1,1,10.00,52649,0,0,0,10,12,100.00,0.00,0.00,0.00,0.00,12,10,0,196147,0,0,196147,0,0,1,0,0,,on,2
sample,2026-05-28T09:48:30Z,35028,7,7,5.0,80.0,20.0,1,1,10.00,18219,10,10,1288,2,7,20.00,0.00,0.05,0.05,0.00,7,2,2,195726,4,2,195724,0,0,2,0,0,,on,2
sample,2026-05-28T09:48:35Z,40031,8,8,5.0,80.0,20.0,1,1,10.00,13014,1,2,0,0,1,0.00,1.00,0.02,0.01,100.00,1,0,0,195868,1,0,195868,0,0,0,0,0,,on,2
sample,2026-05-28T09:48:40Z,45034,9,9,5.0,80.0,20.0,1,1,10.00,14155,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,2,0,0,195708,0,0,195708,0,0,0,0,0,,on,2
sample,2026-05-28T09:48:45Z,50038,10,10,5.0,80.0,20.0,1,1,10.00,13589,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,195717,0,0,195717,0,0,0,0,0,,on,2
sample,2026-05-28T09:48:50Z,55041,11,11,5.0,80.0,20.0,1,1,10.00,14368,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,198344,0,0,198344,0,0,0,0,0,,on,2
sample,2026-05-28T09:48:55Z,60044,12,12,5.0,80.0,20.0,1,1,10.00,8823,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,195306,0,0,195306,0,0,0,0,0,,on,2
sample,2026-05-28T09:49:00Z,65048,13,13,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,199264,0,0,199214,0,0,0,0,0,,on,2
sample,2026-05-28T09:49:05Z,70052,14,14,5.0,80.0,20.0,1,1,10.00,0,0,0,0,12,14,120.00,0.00,0.00,0.00,0.00,14,12,1,179951,0,0,179950,0,0,1,0,0,,on,2
sample,2026-05-28T09:49:10Z,75056,15,15,5.0,80.0,20.0,1,1,10.00,389,12,12,0,0,3,0.00,3.00,3.08,3.08,100.00,3,0,0,182902,2,1,182852,0,0,0,0,0,,on,2
sample,2026-05-28T09:49:15Z,80059,16,16,5.0,80.0,20.0,1,1,10.00,16930,0,0,0,0,1,0.00,1.00,0.00,0.00,100.00,1,0,0,178195,0,0,178195,0,0,0,0,0,,on,2
sample,2026-05-28T09:49:20Z,85063,17,17,5.0,80.0,20.0,1,1,10.00,15456,0,0,0,1,3,10.00,0.00,0.00,0.00,0.00,3,1,1,186294,2,1,186328,0,0,1,0,0,,on,2
