event,window,elapsed_s,state,pte_delta,refault_delta,local_access_pct,local_consecutive,hint_fault_delta,promote_success_delta,promote_candidate_delta,demote_kswapd_delta,migrate_success_delta,stop_reason
sample,1,5.005,on,0,0,0.00,0,13,0,0,0,0,
sample,2,10.008,on,34326,16,0.05,0,12,0,0,0,0,
sample,3,15.012,on,30819,10,0.03,0,12,0,0,49630,49630,
off,3,15.013,off,30819,10,0.03,0,12,0,0,49630,49630,remote_ratio
sample,4,20.016,off,26839,11,0.04,0,0,0,0,195963,195963,
sample,5,25.019,off,32983,0,0.00,0,0,0,0,196100,196100,
on,5,25.020,on,32983,0,0.00,0,0,0,0,196100,196100,reenable
sample,6,30.024,on,52649,0,0.00,0,12,0,0,196147,196147,
sample,7,35.028,on,18219,10,0.05,0,7,2,4,195724,195726,
sample,8,40.031,on,13014,2,0.02,0,1,0,1,195868,195868,
sample,9,45.034,on,14155,0,0.00,0,2,0,0,195708,195708,
sample,10,50.038,on,13589,0,0.00,0,0,0,0,195717,195717,
sample,11,55.041,on,14368,0,0.00,0,0,0,0,198344,198344,
sample,12,60.044,on,8823,0,0.00,0,0,0,0,195306,195306,
sample,13,65.048,on,0,0,0.00,0,0,0,0,199214,199264,
sample,14,70.052,on,0,0,0.00,0,14,0,0,179950,179951,
sample,15,75.056,on,389,12,3.08,0,3,1,2,182852,182902,
sample,16,80.059,on,16930,0,0.00,0,1,0,0,178195,178195,
sample,17,85.063,on,15456,0,0.00,0,3,1,2,186328,186294,
sample,18,90.066,on,17218,1,0.01,0,1,0,0,183250,183318,
sample,19,95.070,on,11079,0,0.00,0,0,0,1,194054,194019,
sample,20,100.073,on,8648,0,0.00,0,1,0,0,190602,190602,
sample,21,105.076,on,9202,0,0.00,0,0,0,0,200397,200397,
sample,22,110.080,on,8952,0,0.00,0,0,0,0,190442,190442,
sample,23,115.083,on,2134,0,0.00,0,0,0,0,190483,190483,
sample,24,120.086,on,0,0,0.00,0,0,0,0,190579,190579,
sample,25,125.090,on,0,0,0.00,0,262603,0,0,144149,144599,
sample,26,130.093,on,0,0,0.00,0,1387080,9182,17342,5154,14345,
sample,27,135.097,on,26908,4393,16.33,0,102946,9,29,0,0,
sample,28,140.100,on,23599,0,0.00,0,1,0,0,0,0,
sample,29,145.103,on,22500,0,0.00,0,1,0,0,0,0,
sample,30,150.107,on,22008,0,0.00,0,2,0,0,0,0,
sample,31,155.110,on,12775,0,0.00,0,2,0,0,0,0,
sample,32,160.113,on,22542,0,0.00,0,0,0,0,0,0,
sample,33,165.116,on,16029,0,0.00,0,1,0,0,0,0,
sample,34,170.120,on,7601,0,0.00,0,0,0,0,0,0,
sample,35,175.123,on,9322,0,0.00,0,0,0,0,0,0,
sample,36,180.127,on,4685,0,0.00,0,0,0,0,0,0,
sample,37,185.130,on,899,0,0.00,0,1,0,0,0,0,
sample,38,190.133,on,260,0,0.00,0,1,0,0,0,0,
sample,39,195.136,on,664,0,0.00,0,0,0,0,0,0,
sample,40,200.140,on,0,0,0.00,0,0,0,0,0,0,
sample,41,205.143,on,0,0,0.00,0,0,0,0,0,0,
sample,42,210.146,on,0,0,0.00,0,1,0,0,0,304,
sample,43,215.149,on,0,0,0.00,0,2,0,0,0,0,
sample,44,220.153,on,552,4,0.72,0,20,0,0,0,0,
sample,45,225.156,on,3971,0,0.00,0,2,0,0,0,0,
sample,46,230.159,on,4,0,0.00,0,0,0,0,0,0,
sample,47,235.162,on,6,0,0.00,0,4,0,0,0,0,
sample,48,240.166,on,2,0,0.00,0,0,0,0,0,147,
sample,49,245.169,on,0,0,0.00,0,32,0,0,5164,5164,
sample,50,250.172,on,4,4,100.00,1,0,0,24,0,0,
sample,51,255.175,on,11,0,0.00,0,1,0,0,0,0,
sample,52,260.178,on,4,0,0.00,0,0,0,0,0,0,
sample,53,265.182,on,0,0,0.00,0,2,0,0,0,0,
sample,54,270.185,on,0,0,0.00,0,0,0,0,0,0,
sample,55,275.188,on,0,0,0.00,0,27,20,20,5662,11166,
sample,56,280.191,on,423,6,1.42,0,0,0,0,0,0,
sample,57,285.195,on,49,0,0.00,0,4,0,0,0,0,
sample,58,290.198,on,131,0,0.00,0,0,0,0,0,0,
sample,59,295.201,on,1,0,0.00,0,2,0,0,0,0,
sample,60,300.204,on,0,0,0.00,0,0,0,0,0,0,
sample,61,305.207,on,0,0,0.00,0,0,0,0,0,0,
sample,62,310.211,on,5,5,100.00,1,9,0,0,0,1032,
sample,63,315.214,on,126,1,0.79,0,0,0,0,0,0,
sample,64,320.216,on,29,7,24.14,0,9205769,57292,63083,68388,127062,
sample,65,325.218,on,5194,5194,100.00,1,10312354,734052,1344688,766581,1502339,
sample,66,330.219,on,62808,62237,99.09,2,3597330,702776,1921895,721837,1428098,
sample,67,335.221,on,69860,69755,99.85,3,3460496,690498,2211487,665027,1360050,
off,67,335.221,off,69860,69755,99.85,3,3460496,690498,2211487,665027,1360050,local_access
sample,68,340.222,off,59886,59886,100.00,1,3379,1347,1562,6306,16857,
sample,69,345.223,off,7740,6450,83.33,2,12077,0,0,0,0,
sample,70,350.225,off,17374,14748,84.89,3,17982,0,0,0,0,
sample,71,355.226,off,20185,17997,89.16,4,40411,0,0,0,24268,
sample,72,360.227,off,45996,43461,94.49,5,42587,0,0,0,1775,
sample,73,365.229,off,40408,38952,96.40,6,50280,0,0,0,0,
sample,74,370.230,off,52826,51842,98.14,7,22775,0,0,0,0,
sample,75,375.231,off,9528,8487,89.07,8,11997,0,0,0,0,
sample,76,380.233,off,16070,13678,85.12,9,16499,0,0,0,0,
sample,77,385.234,off,19358,16960,87.61,10,33944,0,0,0,0,
sample,78,390.235,off,39542,37115,93.86,11,43517,0,0,0,0,
sample,79,395.237,off,42508,40731,95.82,12,44798,0,0,0,0,
sample,80,400.238,off,46910,45621,97.25,13,34862,0,0,0,0,
sample,81,405.239,off,20325,20260,99.68,14,12392,0,0,0,0,
sample,82,410.241,off,16500,14115,85.55,15,15385,0,0,0,0,
sample,83,415.242,off,19325,16634,86.08,16,28069,0,0,0,0,
sample,84,420.243,off,31626,29403,92.97,17,44064,0,0,0,0,
sample,85,425.245,off,45672,43555,95.36,18,43184,0,0,0,0,
sample,86,430.246,off,41781,40601,97.18,19,43713,0,0,0,0,
sample,87,435.247,off,34474,34245,99.34,20,12461,0,0,0,0,
sample,88,440.249,off,13168,11197,85.03,21,13354,0,0,0,0,
sample,89,445.250,off,19225,16313,84.85,22,24810,0,0,0,0,
sample,90,450.251,off,26243,24012,91.50,23,43243,0,0,0,0,
sample,91,455.253,off,45714,43568,95.31,24,42572,0,0,0,0,
sample,92,460.254,off,41988,40641,96.79,25,49983,0,0,0,0,
sample,93,465.255,off,43030,42610,99.02,26,13062,0,0,0,0,
sample,94,470.256,off,9897,8295,83.81,27,13254,0,0,0,0,
sample,95,475.258,off,17960,15339,85.41,28,20067,0,0,0,0,
sample,96,480.259,off,22150,20078,90.65,29,42097,0,0,0,0,
sample,97,485.260,off,46370,43997,94.88,30,42128,0,0,0,0,
sample,98,490.262,off,40423,38984,96.44,31,52206,0,0,0,0,
sample,99,495.263,off,52296,51525,98.53,32,16973,0,0,0,0,
sample,100,500.264,off,5975,4958,82.98,33,12857,0,0,0,0,
sample,101,505.266,off,17539,14991,85.47,34,17209,0,0,0,0,
sample,102,510.267,off,19789,17480,88.33,35,38909,0,0,0,0,
sample,103,515.268,off,45158,42532,94.18,36,42872,0,0,0,0,
sample,104,520.270,off,40075,38566,96.23,37,49099,0,0,0,0,
sample,105,525.271,off,52991,51839,97.83,38,26399,0,0,0,0,
sample,106,530.272,off,11618,10777,92.76,39,12153,0,0,0,0,
sample,107,535.274,off,16355,13931,85.18,40,16277,0,0,0,0,
sample,108,540.275,off,19657,17036,86.67,41,33536,0,0,0,0,
sample,109,545.276,off,38250,35892,93.84,42,43805,0,0,0,0,
sample,110,550.278,off,43260,41526,95.99,43,44659,0,0,0,0,
sample,111,555.279,off,47060,45735,97.18,44,39212,0,0,0,0,
sample,112,560.280,off,27755,26562,95.70,45,14733,0,0,0,0,
sample,113,565.282,off,17068,14596,85.52,46,17667,0,0,0,0,
sample,114,570.283,off,19834,17616,88.82,47,39275,0,0,0,0,
sample,115,575.284,off,45733,43119,94.28,48,42691,0,0,0,0,
sample,116,580.286,off,40047,38515,96.17,49,49487,0,0,0,0,
