event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T06:16:23Z,1,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:16:28Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:16:33Z,10005,2,2,5.0,80.0,20.0,1,1,10.00,72109,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:16:38Z,15008,3,3,5.0,80.0,20.0,1,1,10.00,117965,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:16:43Z,20010,4,4,5.0,80.0,20.0,1,1,10.00,117967,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:16:48Z,25013,5,5,5.0,80.0,20.0,1,1,10.00,62039,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:16:53Z,30016,6,6,5.0,80.0,20.0,1,1,10.00,320,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T06:16:58Z,35018,7,7,5.0,80.0,20.0,1,1,10.00,0,0,0,0,398697,8356041,3986970.00,4369071.00,0.00,0.00,52.29,0,0,0,0,,on,2
sample,2026-05-28T06:17:03Z,40019,8,8,5.0,80.0,20.0,1,1,10.00,30515,30427,30515,0,15984,3117514,159840.00,2957674.00,100.00,99.71,94.87,1,0,0,1,,on,2
sample,2026-05-28T06:17:08Z,45020,9,9,5.0,80.0,20.0,1,1,10.00,15516,15511,15511,5,56750,2112668,567500.00,1545168.00,99.97,99.97,73.14,2,0,0,2,,on,2
sample,2026-05-28T06:17:13Z,50022,10,10,5.0,80.0,20.0,1,1,10.00,61909,61812,61812,97,156610,219919,1566100.00,0.00,99.84,99.84,0.00,3,1,0,3,,on,2
off,2026-05-28T06:17:13Z,50022,10,10,5.0,80.0,20.0,1,1,10.00,61909,61812,61812,97,156610,219919,1566100.00,0.00,99.84,99.84,0.00,3,1,0,3,local_access,off,0
sample,2026-05-28T06:17:18Z,55023,11,11,5.0,80.0,20.0,1,1,10.00,153492,153453,153453,39,150227,150233,1502270.00,0.00,99.97,99.97,0.00,1,1,0,1,,off,0
sample,2026-05-28T06:17:23Z,60025,12,12,5.0,80.0,20.0,1,1,10.00,148929,148929,148929,0,12566,12572,125660.00,0.00,100.00,100.00,0.00,2,2,0,2,,off,0
