event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T05:34:35Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:34:40Z,5002,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:34:45Z,10005,2,2,5.0,80.0,20.0,1,1,10.00,72140,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:34:50Z,15008,3,3,5.0,80.0,20.0,1,1,10.00,94104,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:34:55Z,20011,4,4,5.0,80.0,20.0,1,1,10.00,266,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:35:01Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,67,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:35:06Z,30017,6,6,5.0,80.0,20.0,1,1,10.00,66,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:35:11Z,35020,7,7,5.0,80.0,20.0,1,1,10.00,15125,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T05:35:16Z,40021,8,8,5.0,80.0,20.0,1,1,10.00,19507,0,5988,0,49352,2664196,493520.00,2170676.00,30.70,0.00,81.48,0,0,0,0,,on,2
sample,2026-05-28T05:35:21Z,45022,9,9,5.0,80.0,20.0,1,1,10.00,28359,14457,28359,0,134516,8830451,1345160.00,7485291.00,100.00,50.98,84.77,1,0,0,1,,on,2
sample,2026-05-28T05:35:26Z,50024,10,10,5.0,80.0,20.0,1,1,10.00,54250,53802,53803,447,45816,3001463,458160.00,2543303.00,99.18,99.17,84.74,2,0,0,2,,on,2
sample,2026-05-28T05:35:31Z,55025,11,11,5.0,80.0,20.0,1,1,10.00,45456,45456,45456,0,76299,1008979,762990.00,245989.00,100.00,100.00,24.38,3,0,0,3,,on,2
off,2026-05-28T05:35:31Z,55025,11,11,5.0,80.0,20.0,1,1,10.00,45456,45456,45456,0,76299,1008979,762990.00,245989.00,100.00,100.00,24.38,3,0,0,3,local_access,off,0
