event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T04:25:45Z,0,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T04:25:50Z,5004,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T04:25:55Z,10007,2,2,5.0,80.0,20.0,1,1,10.00,72104,0,0,6105,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T04:26:00Z,15010,3,3,5.0,80.0,20.0,1,1,10.00,100221,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T04:26:05Z,20012,4,4,5.0,80.0,20.0,1,1,10.00,19006,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T04:26:10Z,25015,5,5,5.0,80.0,20.0,1,1,10.00,16570,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T04:26:15Z,30017,6,6,5.0,80.0,20.0,1,1,10.00,14922,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T04:26:20Z,35019,7,7,5.0,80.0,20.0,1,1,10.00,14915,96,14915,0,168261,10731165,1682610.00,9048555.00,100.00,0.64,84.32,1,0,0,1,,on,2
sample,2026-05-28T04:26:25Z,40020,8,8,5.0,80.0,20.0,1,1,10.00,41337,40497,41337,0,61091,3096786,610910.00,2485876.00,100.00,97.97,80.27,2,0,0,2,,on,2
sample,2026-05-28T04:26:30Z,45021,9,9,5.0,80.0,20.0,1,1,10.00,60938,60626,60626,312,48869,1593981,488690.00,1105291.00,99.49,99.49,69.34,3,0,0,3,,on,2
off,2026-05-28T04:26:30Z,45022,9,9,5.0,80.0,20.0,1,1,10.00,60938,60626,60626,312,48869,1593981,488690.00,1105291.00,99.49,99.49,69.34,3,0,0,3,local_access,off,0
