case,bucket_ms,local_pages,remote_pages,total_pages,remote_percent
off,<=128,0,0,0,0.000000
off,<=256,0,0,0,0.000000
off,<=512,0,0,0,0.000000
off,<=1024,0,0,0,0.000000
off,<=2048,0,0,0,0.000000
off,<=4096,0,0,0,0.000000
off,<=8192,0,0,0,0.000000
off,>8192,0,0,0,0.000000
on,<=128,0,4197883,4197883,6.533243
on,<=256,0,1964192,1964192,3.056908
on,<=512,0,3824747,3824747,5.952524
on,<=1024,0,8873815,8873815,13.810482
on,<=2048,0,16043458,16043458,24.968729
on,<=4096,0,24759753,24759753,38.534060
on,<=8192,0,4590337,4590337,7.144026
on,>8192,0,18,18,0.000028
