mode,mode_label,local_mem_gib,case_dir,placement_mode,window_split_local_gib,initial_local_hotset_gib,initial_slow_hotset_gib,initial_local_hotset_pct,target_ops,off_elapsed_s,on_elapsed_s,time_ratio_on_off,off_mops,on_mops,throughput_ratio_on_off,on_user_cpu_s,on_system_cpu_s,on_numa_hint_faults,on_numa_hint_faults_local,on_numa_pages_migrated,on_migrated_gib,on_pgpromote_success,on_pgdemote_direct,on_pgdemote_kswapd,on_pgdemote_total,on_demoted_gib,on_pgfault,on_pgmajfault,on_memory_psi_some_s,on_memory_psi_full_s
all_slow,all slow,8,all_slow/local-08G,all-slow,0.0,0.0,32.0,0.0,43686414250,500.626364,879.517666,1.7568344962352,87.802618986,49.977740798,0.5692055815096914,15087.39,8919.13,135637492,0,43080235,164.33805465698242,43080235,0,41235468,41235468,157.3008270263672,1077340917,48,7.360895,7.325671
all_slow,all slow,12,all_slow/local-12G,all-slow,0.0,0.0,32.0,0.0,43686414250,503.538315,750.36534,1.490185190773417,87.294858486,58.669307416,0.6720820496594213,17547.66,5852.45,86883465,0,12073536,46.056884765625,12073536,0,9200803,9200803,35.0982780456543,674226910,3,3.837197,3.819938
all_slow,all slow,16,all_slow/local-16G,all-slow,0.0,0.0,32.0,0.0,43686414250,499.373016,845.94566,1.694015561305379,88.022989932,52.218968466,0.5932423848171993,20740.18,5927.81,88297885,0,10846643,41.37665939331055,10846643,0,6942356,6942356,26.482986450195312,681530860,3,4.219954,4.206546
all_slow,all slow,20,all_slow/local-20G,all-slow,0.0,0.0,32.0,0.0,43686414250,497.980253,797.514574,1.601498391142028,88.269174726,55.179728376,0.6251302172846374,19826.52,5141.12,76035661,0,11848934,45.200096130371094,11848934,0,6912377,6912377,26.36862564086914,594477292,0,3.93653,3.924916
all_slow,all slow,24,all_slow/local-24G,all-slow,0.0,0.0,32.0,0.0,43686414250,500.959223,773.932852,1.5449018931427079,87.74427921600001,56.958604287,0.6491432238765682,19843.1,4422.47,66788325,0,11392551,43.45913314819336,11392551,0,5467703,5467703,20.85763168334961,516564430,7,3.981109,3.970454
all_slow,all slow,28,all_slow/local-28G,all-slow,0.0,0.0,32.0,0.0,43686414250,497.926973,342.121993,0.6870927094764958,88.27861968,128.702054329,1.4579074162637609,9001.4,1940.67,31037323,0,8909710,33.98784637451172,8909710,0,1943147,1943147,7.412517547607422,242004886,0,1.419152,1.414103
all_slow,all slow,32,all_slow/local-32G,all-slow,0.0,0.0,32.0,0.0,43686414250,499.363058,237.658614,0.4759234993310218,88.024745095,185.273332078,2.104786919610449,6483.86,969.21,16915913,0,8309180,31.697006225585938,8309180,0,326635,326635,1.2460136413574219,133789031,0,0.657002,0.655026
half_local,half local,8,half_local/local-08G,window-split,4.0,4.0,28.0,12.5,43686414250,431.809,745.871703,1.7273185667737356,101.795715073,59.022771072,0.5798158697512311,14628.92,6850.36,103978446,0,28365123,108.2043571472168,28365123,0,27569192,27569192,105.16812133789062,822727747,11,5.527661,5.503116
half_local,half local,12,half_local/local-12G,window-split,6.0,6.0,26.0,18.75,43686414250,407.827985,669.505753,1.641637596301784,107.781485226,65.692447778,0.6094965906273584,16796.12,4602.27,69945212,0,6580568,25.102874755859375,6580568,0,5270466,5270466,20.10523223876953,526821483,1,4.228027,4.211927
half_local,half local,16,half_local/local-16G,window-split,8.0,8.0,24.0,25.0,43686414250,377.248182,725.131806,1.9221611676315513,116.518271117,60.745619261,0.5213398609390903,18378.77,4820.41,72887153,0,6625155,25.272960662841797,6625155,0,4809102,4809102,18.34526824951172,552200876,0,4.389678,4.378194
half_local,half local,20,half_local/local-20G,window-split,10.0,10.0,22.0,31.25,43686414250,347.964226,653.466339,1.8779698893529357,126.324209878,67.292040183,0.5326931413067104,17371.6,3419.97,51946328,0,6598827,25.172527313232422,6598821,0,4294713,4294713,16.38302993774414,397530042,11,4.515628,4.504611
half_local,half local,24,half_local/local-24G,window-split,12.0,12.0,20.0,37.5,43686414250,311.890049,621.760423,1.9935244006454338,140.935262499,70.710024118,0.5017198880124251,16675.33,2761.1,43696802,0,9406170,35.881690979003906,9406170,0,6608595,6608595,25.209789276123047,341539387,11,5.03617,5.023706
half_local,half local,28,half_local/local-28G,window-split,14.0,14.0,18.0,43.75,43686414250,278.203643,329.596418,1.1847307765125132,158.000468238,133.364028027,0.8440736253142647,9346.29,1263.2,20401421,0,5467891,20.858348846435547,5467891,0,2181101,2181101,8.320240020751953,159219752,0,2.063362,2.056989
half_local,half local,32,half_local/local-32G,window-split,16.0,16.0,16.0,50.0,43686414250,244.357879,170.968757,0.6996654157404927,179.88495412900002,257.150459799,1.4295273389823973,5228.36,506.76,8980227,0,4057192,15.476959228515625,4057192,0,276056,276056,1.053070068359375,73899967,11,0.755494,0.754192
