mode,mode_label,local_mem_gib,case_dir,placement_mode,initial_local_hotset_gib,initial_slow_hotset_gib,initial_local_hotset_pct,target_ops,off_elapsed_s,on_elapsed_s,time_ratio_on_off,off_mops,on_mops,throughput_ratio_on_off,on_user_cpu_s,on_system_cpu_s,on_numa_hint_faults,on_numa_pages_migrated,on_migrated_gib,on_pgdemote_total,on_demoted_gib,on_memory_psi_some_s,on_memory_psi_full_s
all_fast,all fast,8,local-08G,window-split,8.0,24.0,25.0,43686414250,395.294016,648.367179,1.6402150115017171,111.199016893,67.79539026100001,0.6096761658085103,13911.03,5557.26,84795776,17681780,67.45063781738281,17864657,68.14825820922852,5.201725,5.181795
all_fast,all fast,12,local-12G,window-split,12.0,20.0,37.5,43686414250,325.104928,671.887723,2.066679601362426,135.23232273699998,65.484525794,0.4842372331454693,17038.15,4752.87,71173046,2755526,10.511497497558594,2946846,11.241325378417969,5.360706,5.351535
all_fast,all fast,16,local-16G,window-split,16.0,16.0,50.0,43686414250,261.022519,699.074203,2.6782141467265514,168.400435966,62.973879709,0.37395318692473223,18500.58,4189.66,63077572,2740008,10.452301025390625,2978278,11.361228942871094,6.38131,6.36981
all_fast,all fast,20,local-20G,window-split,20.0,12.0,62.5,43686414250,194.144823,685.115423,3.528888447362822,226.409879509,64.22019926,0.2836457463749818,18120.92,3436.28,50301031,9420221,35.9352912902832,9681258,36.931068420410156,5.735764,5.722687
all_fast,all fast,24,local-24G,window-split,24.0,8.0,75.0,43686414250,128.669765,572.967415,4.453007394549916,341.621094471,76.892626123,0.22508161049617903,16102.91,2325.54,35018152,5922602,22.592933654785156,6216845,23.715381622314453,6.334232,6.32421
all_fast,all fast,28,local-28G,window-split,28.0,4.0,87.5,43686414250,76.036603,408.973875,5.378644742979905,578.0940290579999,107.50000727,0.18595592043247788,12036.15,1140.55,17949367,5332122,20.340431213378906,5660481,21.593021392822266,4.33831,4.324564
all_fast,all fast,32,local-32G,window-split,32.0,0.0,100.0,43686414250,60.882852,57.208494,0.9396487207925148,722.257279155,768.939312158,1.0646335237460194,2461.76,15.78,113,64,0.000244140625,353409,1.3481483459472656,0.54481,0.544788
all_slow,all slow,8,all_slow/local-08G,all-slow,0.0,32.0,0.0,43686414250,500.626364,879.517666,1.7568344962352,87.802618986,49.977740798,0.5692055815096914,15087.39,8919.13,135637492,43080235,164.33805465698242,41235468,157.3008270263672,7.360895,7.325671
all_slow,all slow,12,all_slow/local-12G,all-slow,0.0,32.0,0.0,43686414250,503.538315,750.36534,1.490185190773417,87.294858486,58.669307416,0.6720820496594213,17547.66,5852.45,86883465,12073536,46.056884765625,9200803,35.0982780456543,3.837197,3.819938
all_slow,all slow,16,all_slow/local-16G,all-slow,0.0,32.0,0.0,43686414250,499.373016,845.94566,1.694015561305379,88.022989932,52.218968466,0.5932423848171993,20740.18,5927.81,88297885,10846643,41.37665939331055,6942356,26.482986450195312,4.219954,4.206546
