local_size_gib,workload,config,elapsed_s,off_elapsed_s,speedup_vs_off,promoted_GiB,demoted_GiB,max_process_N0_GiB,max_process_N1_GiB
16,pr,migration_off,822,822,1.0,0.0,0.0,15.13443,56.457668
16,pr,tiering_0x2,1455,822,0.5649484536082474,13.458084,29.990707,15.359264,56.971546
16,pr,tpp_0x4,1514,822,0.5429326287978864,247.3633,263.606655,16.994488,57.226566
16,bc,migration_off,931,931,1.0,0.0,0.0,15.242683,62.951935
16,bc,tiering_0x2,939,931,0.9914802981895634,52.605282,72.216755,15.954967,63.728577
16,bc,tpp_0x4,926,931,1.0053995680345573,208.382576,221.022324,16.0056,63.78577
16,gups,migration_off,535,535,1.0,0.0,0.0,15.233421,48.767712
16,gups,tiering_0x2,590,535,0.9067796610169492,8.229576,9.422165,15.310596,48.961754
16,gups,tpp_0x4,593,535,0.9021922428330523,5.336601,5.316742,15.254295,48.891048
16,graph500,migration_off,375,375,1.0,0.0,0.0,15.221928,95.332542
16,graph500,tiering_0x2,398,375,0.9422110552763819,37.421711,38.259861,15.48233,95.429981
16,graph500,tpp_0x4,410,375,0.9146341463414634,122.377625,123.553272,17.209171,95.520329
16,btree,migration_off,870,870,1.0,0.0,0.0,15.215206,50.680969
16,btree,tiering_0x2,674,870,1.2908011869436202,70.974335,83.232365,15.350151,50.922852
16,btree,tpp_0x4,692,870,1.2572254335260116,71.455605,89.914791,15.537365,51.121475
16,redis_uniform,migration_off,272,272,1.0,0.0,0.0,15.207146,42.885746
16,redis_uniform,tiering_0x2,232,272,1.1724137931034482,1.766445,30.655434,15.177017,43.06324
16,redis_uniform,tpp_0x4,252,272,1.0793650793650793,29.403511,55.453545,15.205116,43.098114
16,redis_ycsb_a,migration_off,394,394,1.0,0.0,0.0,15.199524,50.721348
16,redis_ycsb_a,tiering_0x2,375,394,1.0506666666666666,3.204098,33.088234,15.159779,50.94677
16,redis_ycsb_a,tpp_0x4,484,394,0.8140495867768595,75.074528,104.167599,15.223991,51.012829
