source_run,suite,local_size_gib,workload,config,returncode,elapsed_s,max_rss_kb,max_process_N0_GiB,max_process_N1_GiB,max_node0_used_GiB,max_node1_used_GiB,promoted_GiB,demoted_GiB,numa_hint_faults,numa_pte_updates,numa_promote_access,numa_promote_access_pages,numa_promote_nrl,numa_promote_nrl_pages,numa_promote_latency_reject,numa_promote_latency_reject_pages,numa_promote_hot,numa_promote_hot_pages,numa_promote_rate_limit_reject,numa_promote_rate_limit_reject_pages,numa_promote_try,numa_promote_try_pages,numa_tpp_inactive_reject,numa_tpp_inactive_reject_pages,numa_tpp_active_candidate,numa_tpp_active_candidate_pages,pgpromote_candidate,pgpromote_candidate_nrl,pgpromote_candidate_demoted,pgpromote_success,pgdemote_kswapd,pgdemote_direct,before_numa_balancing,after_numa_balancing,before_lru_gen_enabled,after_lru_gen_enabled,before_demotion_enabled,after_demotion_enabled,before_demotion_target,after_demotion_target,before_thp_enabled,after_thp_enabled,before_thp_defrag,after_thp_defrag,thp_mode,thp_defrag,before_scan_size_mb,after_scan_size_mb,before_scan_period_min_ms,after_scan_period_min_ms,before_hot_threshold_ms,after_hot_threshold_ms,before_local_fault_scan_size_mb,after_local_fault_scan_size_mb,before_local_fault_scan_period_ms,after_local_fault_scan_period_ms,avg_trial_s,read_s,graph500_teps,ycsb_throughput_ops,redis_last_ops_per_sec,silo_agg_throughput_ops,faster_ops_sec,gapbs_graph_mode,gapbs_graph_scale,gapbs_graph_path,graph_build_included,pr_trials,bc_trials,pr_iterations,bc_iterations,silo_scale_factor,silo_ops_per_worker,silo_threads,liblinear_dataset,liblinear_solver,liblinear_threads,command,placement,result_dir
control_all_local_118_nosilo,control_118,118,bc,all_local,0,225,81924992,78.137112,0.000000,115.389832,0.368893,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,22.78498,38.92664,,,,,,prebuilt,29,/root/gapbs_graphs/kron_g29.sg,0,8,8,20,1,,,,,,,numactl --cpunodebind=0 --membind=0 /root/benchmark/gapbs/bc -f /root/gapbs_graphs/kron_g29.sg -i 1 -n 8 ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/bc
control_all_local_118_nosilo,control_118,118,btree,all_local,0,443,69086032,65.889545,0.000000,66.887451,0.088814,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 --membind=0 /root/benchmark/vmitosis-workloads/bin/bench_btree_mt ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/btree
control_all_local_118_nosilo,control_118,118,faster_uniform,all_local,0,286,61549776,58.711811,0.000000,60.907627,0.089092,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,66542637.34,,,,,,,,,,,,,,,numactl --cpunodebind=0 --membind=0 /root/scripts/run_workload_case_guest.sh faster_uniform ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/faster_uniform
control_all_local_118_nosilo,control_118,118,faster_ycsb_a,all_local,0,279,61606376,58.766682,0.000000,79.333431,0.089092,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,52813636.44,,,,,,,,,,,,,,,numactl --cpunodebind=0 --membind=0 /root/scripts/run_workload_case_guest.sh faster_ycsb_a ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/faster_ycsb_a
control_all_local_118_nosilo,control_118,118,graph500,all_local,0,225,115927988,110.565182,0.000000,111.631813,0.088814,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 --membind=0 /root/benchmark/vmitosis-workloads/bin/bench_graph500_mt -s 28 ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/graph500
control_all_local_118_nosilo,control_118,118,gups,all_local,0,279,67110020,64.005131,0.000000,65.119789,0.092541,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 --membind=0 /root/benchmark/vmitosis-workloads/bin/bench_gups_mt 64 ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/gups
control_all_local_118_nosilo,control_118,118,liblinear,all_local,0,162,13588588,12.966412,0.000000,17.735950,0.087929,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,,,,,,,,,,,,,,,kdd12,6,32,numactl --cpunodebind=0 --membind=0 /root/benchmark/liblinear-multicore-2.47/train -s 6 -m 32 /root/benchmark/liblinear-multicore-2.47/datasets/kdd12 /root/realworld-work/liblinear/all_local-kdd12.model ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/liblinear
control_all_local_118_nosilo,control_118,118,pr,all_local,0,420,74748592,71.290127,0.000000,115.348507,0.352341,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,44.23714,63.24236,,,,,,prebuilt,29,/root/gapbs_graphs/kron_g29.sg,0,8,8,20,1,,,,,,,numactl --cpunodebind=0 --membind=0 /root/benchmark/gapbs/pr -f /root/gapbs_graphs/kron_g29.sg -i 20 -t 1e-4 -n 8 ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/pr
control_all_local_118_nosilo,control_118,118,redis_uniform,all_local,0,178,13976,58.169838,0.000000,59.853878,0.089027,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,,10.887,,,,,,,,,,,,,,,,,numactl --cpunodebind=0 --membind=0 /root/scripts/run_workload_case_guest.sh redis_uniform ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/redis_uniform
control_all_local_118_nosilo,control_118,118,redis_ycsb_a,all_local,0,278,2898664,65.968723,0.000000,67.888088,0.089600,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0007,0x0007,false,false,0 -1 1 -1,0 -1 1 -1,always [madvise] never,always [madvise] never,always defer defer+madvise [madvise] never,always defer defer+madvise [madvise] never,,,256,256,1000,1000,1000,1000,256,256,1000,1000,,,,51977.36756909277,,,51977.36756909277,,,,,,,,,,,,,,,numactl --cpunodebind=0 --membind=0 /root/scripts/run_workload_case_guest.sh redis_ycsb_a ,numactl --cpunodebind=0 --membind=0 ,/Serverless/iccd-git/motivation/3_realworld/VM/results/20260609T_alllocal118_nosilo/guest-results/local118/all_local/redis_ycsb_a
