local_size_gib,118,118,16,16,16,32,32,32,48,48,48
config,all_local,all_slow,migration_off,tiering_0x2,tpp_0x4,migration_off,tiering_0x2,tpp_0x4,migration_off,tiering_0x2,tpp_0x4
workload,,,,,,,,,,,
bc,225.0,990.0,931.0,939.0,926.0,841.0,856.0,884.0,718.0,791.0,846.0
btree,443.0,1164.0,870.0,674.0,692.0,530.0,638.0,700.0,475.0,640.0,629.0
faster_uniform,286.0,294.0,293.0,294.0,314.0,304.0,293.0,309.0,296.0,288.0,290.0
faster_ycsb_a,279.0,286.0,284.0,286.0,299.0,275.0,282.0,301.0,278.0,274.0,273.0
graph500,225.0,388.0,375.0,398.0,410.0,379.0,393.0,377.0,342.0,340.0,362.0
gups,279.0,746.0,535.0,590.0,593.0,309.0,776.0,783.0,292.0,904.0,982.0
liblinear,162.0,314.0,217.0,172.0,159.0,156.0,185.0,157.0,169.0,178.0,170.0
pr,420.0,1718.0,822.0,1455.0,1514.0,415.0,404.0,1075.0,396.0,411.0,679.0
redis_uniform,178.0,217.0,272.0,232.0,252.0,268.0,214.0,237.0,323.0,192.0,208.0
redis_ycsb_a,278.0,379.0,394.0,375.0,484.0,408.0,355.0,444.0,375.0,329.0,401.0
silo,,,681.0,684.0,666.0,618.0,617.0,664.0,610.0,658.0,610.0
