workload,local_size_gib,migration_off,tiering_0x2,tpp_0x4,controller_0x2,all_local,all_slow
pr,16,822,1455,1514,1061,,
pr,32,415,404,1075,421,,
pr,48,396,411,679,421,,
pr,118,,,,,420,1718
bc,16,931,939,926,837,,
bc,32,841,856,884,765,,
bc,48,718,791,846,606,,
bc,118,,,,,225,990
gups,16,535,590,593,534,,
gups,32,309,776,783,527,,
gups,48,292,904,982,397,,
gups,118,,,,,279,746
graph500,16,375,398,410,405,,
graph500,32,379,393,377,400,,
graph500,48,342,340,362,350,,
graph500,118,,,,,225,388
btree,16,870,674,692,662,,
btree,32,530,638,700,614,,
btree,48,475,640,629,501,,
btree,118,,,,,443,1164
redis_uniform,16,272,232,252,221,,
redis_uniform,32,268,214,237,214,,
redis_uniform,48,323,192,208,184,,
redis_uniform,118,,,,,178,217
redis_ycsb_a,16,394,375,484,350,,
redis_ycsb_a,32,408,355,444,343,,
redis_ycsb_a,48,375,329,401,338,,
redis_ycsb_a,118,,,,,278,379
faster_uniform,16,293,294,314,295,,
faster_uniform,32,304,293,309,294,,
faster_uniform,48,296,288,290,290,,
faster_uniform,118,,,,,286,294
faster_ycsb_a,16,284,286,299,283,,
faster_ycsb_a,32,275,282,301,276,,
faster_ycsb_a,48,278,274,273,282,,
faster_ycsb_a,118,,,,,279,286
silo,16,681,684,666,694,,
silo,32,618,617,664,674,,
silo,48,610,658,610,655,,
liblinear,16,217,172,159,243,,
liblinear,32,156,185,157,234,,
liblinear,48,169,178,170,230,,
liblinear,118,,,,,162,314
