local_size_gib,workload,config,off_elapsed_s,elapsed_s,speedup_vs_off
16,pr,tiering_0x2,822,1455,0.564948
16,pr,tpp_0x4,822,1514,0.542933
16,pr,controller_0x2,822,1061,0.774741
16,bc,tiering_0x2,931,939,0.991480
16,bc,tpp_0x4,931,926,1.005400
16,bc,controller_0x2,931,837,1.112306
16,gups,tiering_0x2,535,590,0.906780
16,gups,tpp_0x4,535,593,0.902192
16,gups,controller_0x2,535,534,1.001873
16,graph500,tiering_0x2,375,398,0.942211
16,graph500,tpp_0x4,375,410,0.914634
16,graph500,controller_0x2,375,405,0.925926
16,btree,tiering_0x2,870,674,1.290801
16,btree,tpp_0x4,870,692,1.257225
16,btree,controller_0x2,870,662,1.314199
16,redis_uniform,tiering_0x2,272,232,1.172414
16,redis_uniform,tpp_0x4,272,252,1.079365
16,redis_uniform,controller_0x2,272,221,1.230769
16,redis_ycsb_a,tiering_0x2,394,375,1.050667
16,redis_ycsb_a,tpp_0x4,394,484,0.814050
16,redis_ycsb_a,controller_0x2,394,350,1.125714
16,faster_uniform,tiering_0x2,293,294,0.996599
16,faster_uniform,tpp_0x4,293,314,0.933121
16,faster_uniform,controller_0x2,293,295,0.993220
16,faster_ycsb_a,tiering_0x2,284,286,0.993007
16,faster_ycsb_a,tpp_0x4,284,299,0.949833
16,faster_ycsb_a,controller_0x2,284,283,1.003534
16,silo,tiering_0x2,681,684,0.995614
16,silo,tpp_0x4,681,666,1.022523
16,silo,controller_0x2,681,694,0.981268
16,liblinear,tiering_0x2,217,172,1.261628
16,liblinear,tpp_0x4,217,159,1.364780
16,liblinear,controller_0x2,217,243,0.893004
32,pr,tiering_0x2,415,404,1.027228
32,pr,tpp_0x4,415,1075,0.386047
32,pr,controller_0x2,415,421,0.985748
32,bc,tiering_0x2,841,856,0.982477
32,bc,tpp_0x4,841,884,0.951357
32,bc,controller_0x2,841,765,1.099346
32,gups,tiering_0x2,309,776,0.398196
32,gups,tpp_0x4,309,783,0.394636
32,gups,controller_0x2,309,527,0.586338
32,graph500,tiering_0x2,379,393,0.964377
32,graph500,tpp_0x4,379,377,1.005305
32,graph500,controller_0x2,379,400,0.947500
32,btree,tiering_0x2,530,638,0.830721
32,btree,tpp_0x4,530,700,0.757143
32,btree,controller_0x2,530,614,0.863192
32,redis_uniform,tiering_0x2,268,214,1.252336
32,redis_uniform,tpp_0x4,268,237,1.130802
32,redis_uniform,controller_0x2,268,214,1.252336
32,redis_ycsb_a,tiering_0x2,408,355,1.149296
32,redis_ycsb_a,tpp_0x4,408,444,0.918919
32,redis_ycsb_a,controller_0x2,408,343,1.189504
32,faster_uniform,tiering_0x2,304,293,1.037543
32,faster_uniform,tpp_0x4,304,309,0.983819
32,faster_uniform,controller_0x2,304,294,1.034014
32,faster_ycsb_a,tiering_0x2,275,282,0.975177
32,faster_ycsb_a,tpp_0x4,275,301,0.913621
32,faster_ycsb_a,controller_0x2,275,276,0.996377
32,silo,tiering_0x2,618,617,1.001621
32,silo,tpp_0x4,618,664,0.930723
32,silo,controller_0x2,618,674,0.916914
32,liblinear,tiering_0x2,156,185,0.843243
32,liblinear,tpp_0x4,156,157,0.993631
32,liblinear,controller_0x2,156,234,0.666667
48,pr,tiering_0x2,396,411,0.963504
48,pr,tpp_0x4,396,679,0.583211
48,pr,controller_0x2,396,421,0.940618
48,bc,tiering_0x2,718,791,0.907712
48,bc,tpp_0x4,718,846,0.848700
48,bc,controller_0x2,718,606,1.184818
48,gups,tiering_0x2,292,904,0.323009
48,gups,tpp_0x4,292,982,0.297352
48,gups,controller_0x2,292,397,0.735516
48,graph500,tiering_0x2,342,340,1.005882
48,graph500,tpp_0x4,342,362,0.944751
48,graph500,controller_0x2,342,350,0.977143
48,btree,tiering_0x2,475,640,0.742188
48,btree,tpp_0x4,475,629,0.755167
48,btree,controller_0x2,475,501,0.948104
48,redis_uniform,tiering_0x2,323,192,1.682292
48,redis_uniform,tpp_0x4,323,208,1.552885
48,redis_uniform,controller_0x2,323,184,1.755435
48,redis_ycsb_a,tiering_0x2,375,329,1.139818
48,redis_ycsb_a,tpp_0x4,375,401,0.935162
48,redis_ycsb_a,controller_0x2,375,338,1.109467
48,faster_uniform,tiering_0x2,296,288,1.027778
48,faster_uniform,tpp_0x4,296,290,1.020690
48,faster_uniform,controller_0x2,296,290,1.020690
48,faster_ycsb_a,tiering_0x2,278,274,1.014599
48,faster_ycsb_a,tpp_0x4,278,273,1.018315
48,faster_ycsb_a,controller_0x2,278,282,0.985816
48,silo,tiering_0x2,610,658,0.927052
48,silo,tpp_0x4,610,610,1.000000
48,silo,controller_0x2,610,655,0.931298
48,liblinear,tiering_0x2,169,178,0.949438
48,liblinear,tpp_0x4,169,170,0.994118
48,liblinear,controller_0x2,169,230,0.734783
